id,osmid,name,lanes,len,maxUsed
6392,60319699,Vale Avenue,,12,1.0
6393,60430757,Christmas Tree Point Road,,2,2.0
6394,60495402,Filbert Steps,,1,2.0
6395,60501618,Twin Peaks Boulevard,,6,3.0
6396,60501619,Twin Peaks Boulevard,,11,3.0
6397,60501621,Twin Peaks Boulevard,,6,4.0
6398,60501632,Starview Way,,15,2.0
6399,60678104,Nimitz Freeway,4,10,2.0
6400,60678108,Nimitz Freeway,4,1,2.0
6401,60678120,Nimitz Freeway,4,13,2.0
6402,60678125,Nimitz Freeway,4,1,2.0
6403,60678639,Davis Street,,29,2.0
6404,60678643,Davis Street,,5,2.0
6405,60775747,Mosswood Lane,,1,2.0
6406,60787283,Arden Steps,,1,2.0
6407,60787285,Stadium Rim Way,,8,2.0
6408,60787287,Arden Path,,1,2.0
6409,60787288,Mosswood Lane,,8,2.0
6410,60822220,Days Inn,,27,2.0
6411,60854712,20th Avenue,,5,4.0
6412,60862882,El Camino del Mar,,54,4.0
6413,60867083,Lisa Lane,,5,2.0
6414,60949899,Golden Gate Avenue,,4,2.0
6415,60995474,Coastal Trail,,15,3.0
6416,60995478,Coastal Trail,,11,3.0
6417,60995659,Coastal Trail,,51,2.0
6418,61011264,Cabrillo Street,,9,2.0
6419,61013246,Zoo Road,,7,2.0
6420,61013318,Zoo Road,,19,2.0
6421,61154525,Fell Street,,1,4.0
6422,61154587,5th Avenue,,21,3.0
6423,61155829,College Drive,,6,1.0
6424,61155830,Sharp Park Road,,5,1.0
6425,61155833,Laurel Lane,,1,1.0
6426,61157786,Genebern Way,,4,2.0
6427,61158163,Benton Avenue,,1,3.0
6428,61158164,Genebern Way,,12,2.0
6429,61160781,Mount Vernon Avenue,,1,2.0
6430,61348793,Milagra Spur Trail,,6,2.0
6431,61350901,Orick Street,,1,2.0
6432,61424023,Southern Embarcadero Freeway,2,3,2.0
6433,61452160,Ocean View Drive,,4,3.0
6434,61452164,Ocean View Drive,,1,3.0
6435,61452179,Mausoleum Drive,,7,1.0
6436,61452181,Pacifiv View Drive,,5,2.0
6437,61452183,Vista Drive,,3,3.0
6438,61452187,Vista Circle,,18,3.0
6439,61452188,Chapel View Drive,,10,1.0
6440,61452191,Skyline Boulevard,,45,2.0
6441,61538390,Charter Oak Avenue,,6,2.0
6442,61558624,3rd Street,,9,3.0
6443,61558655,Keith Street,,7,3.0
6444,61558775,Bayshore Boulevard,,8,2.0
6445,61559252,Loehr Street,,1,2.0
6446,61559253,Britton Street,,1,2.0
6447,61559395,Tunnel Avenue,,5,2.0
6448,61636506,Amador Street,,12,3.0
6449,61636694,Arthur Avenue,,1,3.0
6450,61636695,Arthur Avenue,,3,3.0
6451,61857566,Skycrest Drive,,7,1.0
6452,62200935,Sather Lane,,4,1.0
6453,63059912,Bronte Street,,3,2.0
6454,63059914,Bronte Street,,1,2.0
6455,63095711,Resident Lane,,10,2.0
6456,63095810,Hospital Plaza,,15,2.0
6457,63095825,Oak Avenue,,8,3.0
6458,63095834,Chapel Lane,,3,1.0
6459,65616859,Stratford Path,,1,1.0
6460,65616860,Path #4,,1,1.0
6461,65616861,Path #3,,1,1.0
6462,65617538,Alexander Avenue,,9,1.0
6463,65619761,San Francisco Bay Trail,,5,2.0
6464,65619762,San Francisco Bay Trail,,6,2.0
6465,65619769,San Francisco Bay Trail,,9,2.0
6466,66218597,Cabrillo Trail,,3,1.0
6467,66218599,Brookvale Trail,,4,1.0
6468,66218602,Brookvale Trail,,10,2.0
6469,66218603,Cabrillo Trail,,5,1.0
6470,66218604,Brookvale Trail,,5,1.0
6471,66218606,Cabrillo Trail,,8,2.0
6472,66218610,Brookvale Trail,,3,1.0
6473,66218614,Brookvale Trail,,5,1.0
6474,66218616,Cabrillo Trail,,2,1.0
6475,66218617,Brookvale Trail,,3,1.0
6476,66218619,Cabrillo Trail,,8,2.0
6477,66218624,Cabrillo Trail,,15,2.0
6478,66218625,Brookvale Trail,,6,1.0
6479,66218626,Cabrillo Trail,,2,1.0
6480,66218628,Cabrillo Trail,,5,2.0
6481,66218630,Cabrillo Trail,,10,2.0
6482,66218632,Cabrillo Trail,,9,2.0
6483,66218633,Brookvale Trail,,12,2.0
6484,66218636,Brookvale Trail,,5,1.0
6485,66218638,Cabrillo Trail,,81,2.0
6486,66218643,Brookvale Trail,,3,1.0
6487,66218644,Cabrillo Trail,,3,1.0
6488,66218646,Brookvale Trail,,6,1.0
6489,66218649,Brookvale Trail,,4,1.0
6490,66218650,Cabrillo Trail,,4,1.0
6491,66218651,Brookvale Trail,,3,1.0
6492,66218654,Cabrillo Trail,,3,1.0
6493,66218656,Brookvale Trail,,4,1.0
6494,66218658,Brookvale Trail,,130,2.0
6495,66340964,High Marsh Trail,,105,2.0
6496,66344275,Northgate Trail,,7,1.0
6497,66344277,Northgate Trail,,2,1.0
6498,66344284,Northgate Trail,,3,1.0
6499,66344287,Northgate Trail,,2,1.0
6500,66344291,Northgate Trail,,36,2.0
6501,66344304,Northgate Trail,,2,1.0
6502,66344306,Northgate Trail,,3,1.0
6503,66344315,Northgate Trail,,2,1.0
6504,66344316,Northgate Trail,,3,1.0
6505,66344319,Northgate Trail,,2,1.0
6506,66344321,Northgate Trail,,5,1.0
6507,66344327,Northgate Trail,,59,3.0
6508,66344333,Northgate Trail,,3,1.0
6509,66344336,Northgate Trail,,2,1.0
6510,66344342,Northgate Trail,,3,2.0
6511,66344343,Northgate Trail,,1,1.0
6512,66344344,Northgate Trail,,4,2.0
6513,66344345,Northgate Trail,,3,1.0
6514,66348358,Kent Trail,,54,3.0
6515,66349633,Helen Market Trail,,149,2.0
6516,66351047,Stocking Trail,,47,1.0
6517,66353210,CC Boys Trail,,62,2.0
6518,66643532,Codman Place,,1,2.0
6519,66643533,Codman Place,,1,2.0
6520,66643677,Joice Street,,1,3.0
6521,66984538,Spring Street,,4,1.0
6522,67379598,Kent Trail,,136,2.0
6523,67381684,Trail,,127,2.0
6524,67383517,Kent Trail,,419,2.0
6525,67383520,Simmons Trail,,46,2.0
6526,67383521,Benstein Trail,,76,1.0
