id,osmid,name,lanes,len,maxUsed
0,4311275,Bayshore Freeway,4,56,2.0
1,4352168,Junipero Serra Freeway,4,1,2.0
2,4699870,Nimitz Freeway,4,10,2.0
3,4859362,J Arthur Younger Freeway,2,21,2.0
4,4958463,Decoto Road,2,1,1.0
5,4958699,Nimitz Freeway,4,1,2.0
6,4970189,J Arthur Younger Freeway,2,10,2.0
7,4970206,Bayshore Freeway,4,9,2.0
8,5004035,Macondray Lane,,1,2.0
9,5050916,Stonewall-Panoramic Trail,,44,2.0
10,5050917,Stonewall-Panoramic Trail,,56,2.0
11,5071579,Bayshore Freeway,4,8,2.0
12,5071582,James Lick Freeway,5,3,2.0
13,5072891,Dwight Way,,29,2.0
14,5072894,Panoramic Place,,5,1.0
15,5149901,Grizzly Peak Boulevard,,87,2.0
16,5149902,Grizzly Peak Boulevard,,148,2.0
17,5149903,Claremont Avenue,2,18,2.0
18,5149907,Stonewall Road,,31,2.0
19,5149909,Centennial Drive,,61,2.0
20,5149910,Centennial Drive,,15,2.0
21,5149913,Panoramic Way,,85,3.0
22,5149916,Smyth Road,,9,1.0
23,5149917,Hillside Avenue,,11,2.0
24,5149920,Canyon Road,,7,2.0
25,5149922,Dwight Place,,6,1.0
26,5150501,Fernwald Road,,5,3.0
27,5150502,Mosswood Road,,16,2.0
28,5150503,Arden Road,,14,2.0
29,5165991,Eastshore Freeway,6,4,2.0
30,6202491,Wildcat Gorge Trail,,49,3.0
31,6202493,Curran Trail,,10,3.0
32,6202494,Meadows Canyon Trail,,91,2.0
33,6324450,Castro Valley Freeway,2,9,2.0
34,6329287,Water Street,,1,1.0
35,6329571,Franklin Street,,1,3.0
36,6330308,6th Street,,3,2.0
37,6330425,West 10th Street,,2,2.0
38,6330439,12th Street,,11,2.0
39,6331826,Park Boulevard,4,38,2.0
40,6332401,West 15th Street,,1,1.0
41,6336821,Sacramento Street,,4,3.0
42,6340357,18th Street,,6,2.0
43,6340370,Cleveland Cascade,,1,1.0
44,6341515,Midway Street,,4,2.0
45,6342279,Warren Freeway,2,23,2.0
46,6343684,Sanborn Drive,,64,3.0
47,6344377,Bridgeview Drive,,18,2.0
48,6344844,Dyer Street,,21,2.0
49,6348657,Arlington Avenue,,53,1.0
50,6349245,Live Oak Terrace,,1,2.0
51,6353041,Carson Drive,,1,2.0
52,6358368,West 8th Street,,1,1.0
53,6363469,West 17th Street,,3,1.0
54,6369513,West 21st Street,,1,1.0
55,6370305,58th Street,1,1,1.0
56,6372138,Tulagi Street,,1,1.0
57,6377365,Addison Street,,7,2.0
58,6378193,Drake Lane,,7,1.0
59,6379649,Hillery Way,,19,1.0
60,6380915,Tartan Way,,6,2.0
61,6380984,Grove Shafter Freeway,2,22,2.0
62,6385801,7th Street,4,12,2.0
63,6387456,West 11th Street,,3,2.0
64,6392460,Shawnee Court,,5,1.0
65,6396055,Neil Armstrong Way,,12,2.0
66,6399227,Grand Avenue,4,3,3.0
67,6400759,Euclid Avenue,2,3,2.0
68,6400775,Euclid Avenue,2,66,1.0
69,6401213,Joaquin Miller Road,,14,3.0
70,6405288,West 19th Street,,1,1.0
71,6405589,Alan Shepard Way,,11,1.0
72,6407619,East 12th Street,,13,2.0
73,6408133,Decoto Road,,12,2.0
74,7373728,6th Street,,4,2.0
75,7373736,Bluxome Street,,3,2.0
76,7448875,Nelson Rising Lane,,1,4.0
77,7448946,Mission Bay Boulevard,,1,3.0
78,7705909,Colusa Avenue,1,6,1.0
79,7705911,Sutter Street,2,2,2.0
80,7715654,Albany Waterfront Trail,,12,1.0
81,7781339,Piedmont Avenue,,4,2.0
82,7805666,Russell Street,,3,1.0
83,7805681,Ohlone Greenway,,2,2.0
84,7805688,Ohlone Greenway,,18,1.0
85,7854811,Strawberry Hollow,,1,1.0
86,7855374,Dewing Avenue,,2,4.0
87,7856157,Nordstrom Lane,,10,3.0
88,7857550,Harran Circle,,3,1.0
89,7858319,Bickerstaff Road,,9,4.0
90,7858613,Amber Valley Drive,,7,2.0
91,7859302,Paulson Court,,4,1.0
92,7860266,Monson Lane,,3,1.0
93,7860956,Legion Court,,1,1.0
94,7861090,Risa Road,,7,1.0
95,7861121,Glen Road,,22,2.0
96,7861220,Dollis Park Road,,2,1.0
97,7861509,Moon Court,,2,1.0
98,7861989,Kingingwood Lane,,4,1.0
99,7862347,Hough Avenue,,6,2.0
100,7862460,Alta Mesa,,18,1.0
101,7862662,Wilson Road,,3,2.0
102,7862753,Candle Terrace,,4,1.0
103,7863009,Hilltop Drive,,12,2.0
104,7863643,Oak Flat Road,,3,1.0
105,7863752,Acalanes Road,,22,4.0
106,7863755,Rose Court,,5,2.0
107,7864616,Wildwood Lane,,1,1.0
108,7864658,Van Ripper Lane,,30,2.0
109,7864795,Dahlia Court,,1,1.0
110,7865748,Altarinda Circle,,1,1.0
111,7865819,Hastings Court,,5,2.0
112,7865884,Sugarloaf Terrace,,13,1.0
113,7865896,Arlington Avenue,,23,3.0
114,7865906,Janet Lane,,4,1.0
115,7865960,Fallen Leaf Terrace,,9,1.0
116,7866789,Irving Court,,1,1.0
117,7866821,North Thompson Road,,15,2.0
118,7866823,North Thompson Road,,19,3.0
119,7867150,Tammy Court,,1,2.0
120,7867222,Charles Hill Lane,,1,1.0
121,7867252,Conntra Costa Canal Canal Trail,,1,1.0
122,7867764,Charles Hill Road,,35,2.0
123,7867829,Saint Francis Drive,,9,2.0
124,7868057,El Pulgar,,5,1.0
125,7868460,Via Las Cruces,,2,1.0
126,7868629,Cerrito Court,,4,1.0
127,7868829,Sierra Gardens,,2,1.0
128,7868938,Franklin Lane,,6,2.0
129,7869511,Glorietta Boulevard,,9,4.0
130,7869775,Woodside Court,,20,1.0
131,7869824,Oak Hill Road,,18,2.0
132,7870148,Crescent Drive,,5,2.0
133,7870306,Costanoan Trail,,68,3.0
134,7871203,Valente Court,,2,1.0
135,7872060,Lincoln Way,,10,1.0
136,7872211,Dolores Drive,,11,2.0
137,7872218,Songbird Court,,2,1.0
138,7872460,Via Nueva,,4,1.0
139,7872554,Coachwood Terrace,,7,1.0
140,7872645,Glen Court,,3,2.0
141,7872730,Chestnut Street,,5,2.0
142,7874007,Wilson Court,,1,1.0
143,7874072,West Creek Court,,3,1.0
144,7874141,Brook Street,,8,4.0
145,7875114,San Pablo Avenue,,5,2.0
146,7875379,Fiora Place,,7,1.0
147,7875780,West Arbor Way,,1,1.0
148,7876410,Walnut Street,,9,2.0
149,7876486,Bell Street,,1,1.0
150,7877396,West Road,,2,2.0
151,7879010,Sunnyhills Road,,5,1.0
152,7879081,Village Center,,2,3.0
153,7879280,Hidden Valley Road,,33,3.0
154,7879730,Meadow Lane,,4,2.0
155,7879829,Arbor Way,,4,1.0
156,7880233,Sundale Road,,11,2.0
157,7880240,Natasha Drive,,19,1.0
158,7880789,Irving Lane,,9,2.0
159,7880795,Gardiner Court,,26,1.0
160,7881054,Saint Francis Court,,1,1.0
161,7881175,Mosswood Drive,,17,2.0
162,7917274,Grizzly Peak Trail,,149,2.0
163,7917275,Grizzly Peak Trail,,38,3.0
164,7917277,Vollmer Peak Trail,,15,3.0
165,7917278,Vollmer Peak Trail,,45,3.0
166,7917279,Vollmer Peak Trail,,81,3.0
167,7917280,Lupine Trail,,90,3.0
168,7917281,Tower Trail,,8,3.0
169,7917283,Vollmer Peak Trail,,2,2.0
170,7917284,Seaview Trail,,38,1.0
171,7917286,Seaview Drive,,5,1.0
172,7917289,Redwood Trail,,100,3.0
173,7979606,Quarry Trail,,89,2.0
174,7979607,Big Springs Trail,,15,4.0
175,7979609,Quarry Trail,,36,4.0
176,7991140,Ohlone Greenway,,33,2.0
177,8013482,Alvarez Road,,21,1.0
178,8515265,Aruba Lane,,14,3.0
179,8515287,Grenada Lane,,10,3.0
180,8914958,Vandewater Street,,1,2.0
181,8914960,Hawes Street,,1,2.0
182,8914961,Hawes Street,,4,3.0
183,8914964,Hawes Street,,2,2.0
184,8914965,12th Avenue,,9,3.0
185,8914967,12th Avenue,,19,1.0
186,8914970,12th Avenue,,2,2.0
187,8914972,12th Avenue,,9,3.0
188,8914973,12th Avenue,,2,2.0
189,8914974,12th Avenue,,10,2.0
190,8914977,Berwick Place,,1,3.0
191,8914980,Baker Court,,2,3.0
192,8914982,Jamestown Avenue,,19,3.0
193,8914983,Jamestown Avenue,,17,2.0
194,8914984,Louisburg Street,,7,4.0
195,8914986,Quarry Road,,10,1.0
196,8914988,Bosworth Street,,15,3.0
197,8914993,Bosworth Street,,7,4.0
198,8914994,Liebig Street,,2,5.0
199,8914996,Fitch Street,,2,2.0
200,8914997,Fitch Street,,1,2.0
201,8914998,Fitch Street,,5,2.0
202,8914999,Clarendon Woods Avenue,,9,2.0
203,8915002,Aquavista Way,,19,3.0
204,8915003,Fowler Avenue,,5,3.0
205,8915009,Dehon Street,,1,1.0
206,8915051,Lake Merced Bike Path,,5,2.0
207,8915111,Vista Access Road,,1,2.0
208,8915185,Skunk Alley,,4,2.0
209,8915427,Sunset Boulevard,,11,5.0
210,8915429,Sunset Boulevard,,7,3.0
211,8915436,Bayshore Boulevard,2,3,2.0
212,8915480,Lyon Street,,2,3.0
213,8915527,Thomas Avenue,,2,3.0
214,8915543,Gardener Road,,8,2.0
215,8915618,Utah Street,,2,2.0
216,8915662,Martinez Street,,9,2.0
217,8915742,Dukes Court,,8,2.0
218,8915744,Blandy Street,,2,3.0
219,8915747,Mahan Street,,3,2.0
220,8915750,Starr King Way,,15,3.0
221,8915752,Lansing Street,,1,2.0
222,8915753,Norton Street,,2,2.0
223,8915757,Knockash Hill,,12,2.0
224,8915759,Fargo Place,,1,1.0
225,8915760,Vinton Court,,1,1.0
226,8915762,Youngs Court,,1,1.0
227,8915763,Fulton Street,,1,3.0
228,8915796,Fulton Street,,3,4.0
229,8915807,Panorama Drive,,4,3.0
230,8915810,Kenneth Rexroth Place,,2,2.0
231,8915831,San Buenaventura Way,,15,2.0
232,8915843,5th Avenue,,5,4.0
233,8915845,3rd Avenue,,5,2.0
234,8915848,3rd Avenue,,1,3.0
235,8915865,Wawona Street,,3,2.0
236,8915869,Roanoke Street,,4,2.0
237,8915872,Newman Street,,2,2.0
238,8915884,Coso Avenue,,2,2.0
239,8915888,Coso Avenue,,8,4.0
240,8915889,Castelo Avenue,,1,2.0
241,8915900,Ralston Avenue,,13,4.0
242,8915904,Nadell Court,,1,1.0
243,8915914,Noriega Street,,8,3.0
244,8915917,Noriega Street,,8,2.0
245,8915925,Noriega Street,,4,4.0
246,8915937,Noriega Street,,10,3.0
247,8915941,Noriega Street,,9,2.0
248,8915944,Noriega Street,,4,3.0
249,8915948,Noriega Street,,6,2.0
250,8915951,Gen. Kennedy Avenue,,4,3.0
251,8915954,Mabel Alley,,2,2.0
252,8915957,Highland Avenue,,1,2.0
253,8915959,Highland Avenue,,2,2.0
254,8915961,Justin Drive,,12,2.0
255,8915974,Justin Drive,,55,3.0
256,8915977,Apollo Street,,3,2.0
257,8915979,Langdon Court,,1,2.0
258,8915980,Langdon Court,,4,2.0
259,8915983,Blairwood Lane,,1,2.0
260,8915986,Colton Street,,2,2.0
261,8916021,San Miguel Street,,9,3.0
262,8916023,Prosper Street,,1,2.0
263,8916026,Lurmont Terrace,,1,1.0
264,8916045,Hutchins Court,,3,1.0
265,8916048,Isis Street,,9,2.0
266,8916053,Harvard Street,,5,2.0
267,8916055,Ord Court,,13,3.0
268,8916057,Farnum Street,,5,2.0
269,8916061,Appleton Street,,20,3.0
270,8916065,Lake Street,,9,5.0
271,8916078,Lake Street,,14,5.0
272,8916113,Hill Drive,,14,2.0
273,8916117,Hill Drive,,15,3.0
274,8916119,Hill Drive,,1,2.0
275,8916151,36th Avenue,,2,3.0
276,8916155,Brunswick Street,,16,2.0
277,8916158,Burnett North Avenue,,6,1.0
278,8916159,Elwood Street,,2,2.0
279,8916165,Bryant Street,,2,4.0
280,8916175,Dichiera Court,,1,1.0
281,8916177,Drake Street,,26,4.0
282,8916178,Malden Alley,,1,2.0
283,8916179,Laura Street,,2,2.0
284,8916181,Chelsea Place,,1,2.0
285,8916182,Commer Court,,6,2.0
286,8916183,Welsh Street,,1,3.0
287,8916184,Welsh Street,,1,2.0
288,8916185,Behr Avenue,,8,2.0
289,8916186,Sibert Loop,,12,2.0
290,8916187,Moneta Court,,2,1.0
291,8916188,North View Court,,1,2.0
292,8916189,Kearny Lane,,3,1.0
293,8916191,Mariposa Street,,5,3.0
294,8916193,Lusk Street,,1,2.0
295,8916195,McKinnon Avenue,,14,2.0
296,8916196,McKinnon Avenue,,5,4.0
297,8916197,Fort Miley 3,,17,2.0
298,8916198,Paul Avenue,,2,2.0
299,8916199,Bradford Street,,3,2.0
300,8916200,Bradford Street,,5,2.0
301,8916201,Bradford Street,,7,2.0
302,8916202,Whitney Street,,4,2.0
303,8916203,Whitney Street,,1,2.0
304,8916204,Murray Lane,,3,1.0
305,8916205,Somerset Street,,7,2.0
306,8916206,Somerset Street,,1,2.0
307,8916207,Somerset Street,,4,2.0
308,8916208,Somerset Street,,2,2.0
309,8916209,Jerrold Avenue,,7,4.0
310,8916211,Jerrold Avenue,,3,2.0
311,8916212,Jerrold Avenue,,8,3.0
312,8916213,Fort Miley 4,,2,1.0
313,8916215,Gilbert Street,,1,3.0
314,8916216,San Leandro Way,,22,2.0
315,8916218,Gonzalez Drive,,9,4.0
316,8916222,I Street,,8,2.0
317,8916223,Spring Street,1,1,2.0
318,8916224,North Willard Street,,9,2.0
319,8916226,John F Shelley Drive,,123,2.0
320,8916227,Fort Miley 6,,7,2.0
321,8916228,Rockland Street,,1,2.0
322,8916229,Vulcan Steps,,2,2.0
323,8916230,Rotteck Street,,1,3.0
324,8916232,Clinton Park,,1,3.0
325,8916233,Sabin Place,,1,1.0
326,8916235,Macondray Lane,,1,2.0
327,8916239,Gennessee Street,,4,3.0
328,8916240,Milan Terrace,,1,2.0
329,8916241,Higuera Avenue,,5,2.0
330,8916242,Higuera Avenue,,4,2.0
331,8916243,Britton Street,,2,2.0
332,8916244,Ingalls Street,,26,4.0
333,8916246,Pearl Street,,2,2.0
334,8916247,Piedmont Street,,8,3.0
335,8916248,Ophir Alley,,1,2.0
336,8916249,Water Street,,2,2.0
337,8916250,Quint Street,,3,2.0
338,8916251,Quint Street,,8,2.0
339,8916252,Quint Street,,2,2.0
340,8916253,Quint Street,,7,4.0
341,8916254,Johnstone Drive,,18,2.0
342,8916255,Johnstone Drive,,10,1.0
343,8916265,Buchanan Street,,6,3.0
344,8916266,Shaw Alley,,1,2.0
345,8916267,Harlow Street,,1,1.0
346,8916269,Nichols Way,,9,2.0
347,8916271,Nebraska Street,,1,2.0
348,8916273,Mullen Avenue,,15,3.0
349,8916275,Bocana Street,,5,2.0
350,8916276,Holyoke Street,,5,2.0
351,8916277,Holyoke Street,,2,2.0
352,8916278,Holyoke Street,,1,2.0
353,8916279,Holyoke Street,,1,1.0
354,8916280,Lakeview Avenue,,16,3.0
355,8916281,27th Avenue,,17,2.0
356,8916282,27th Avenue,,5,2.0
357,8916283,27th Avenue,,8,2.0
358,8916284,Edgardo Place,,1,1.0
359,8916285,Park Hill Avenue,,2,3.0
360,8916286,Amazon Avenue,,9,2.0
361,8916287,Marina Boulevard,,12,3.0
362,8916290,Marina Boulevard,,5,5.0
363,8916291,Moss Street,,1,2.0
364,8916295,19th Street,,2,4.0
365,8916298,19th Street,,16,3.0
366,8916302,Goleta Avenue,,1,2.0
367,8916310,6th Street,,3,2.0
368,8916311,Kramer Place,,2,2.0
369,8916313,Alert Alley,,1,3.0
370,8916314,Stillings Avenue,,16,3.0
371,8916316,Gorgas Avenue,,9,2.0
372,8916318,Lawton Street,,19,2.0
373,8916321,Lawton Street,,3,4.0
374,8916323,Lawton Street,,3,3.0
375,8916324,Temescal Terrace,,2,2.0
376,8916325,Ingleside Path,,1,2.0
377,8916326,Macalla Court,,1,1.0
378,8916327,Dolores Street,,6,4.0
379,8916335,Dolores Street,,7,4.0
380,8916338,Rhode Island Street,,3,4.0
381,8916339,Sherwood Court,,5,1.0
382,8916341,Bernice Street,,7,2.0
383,8916343,Kensington Way,,5,3.0
384,8916344,Kensington Way,,6,2.0
385,8916345,Helen Place,,2,2.0
386,8916347,Burlwood Drive,,34,2.0
387,8916349,Halibut Court,,4,1.0
388,8916351,Beideman Street,,1,2.0
389,8916354,Hudson Court,,5,3.0
390,8916356,Merchant Road,,24,4.0
391,8916364,O&apos;Shaughnessy Boulevard,,5,3.0
392,8916366,Shawnee Avenue,,3,2.0
393,8916367,Seal Rock Drive,,4,3.0
394,8916368,Santiago Street,,6,4.0
395,8916369,Emerson Street,,1,2.0
396,8916372,Carr Street,,1,3.0
397,8916375,California Street,,12,4.0
398,8916376,Garces Drive,,14,4.0
399,8916378,Palo Alto Avenue,,10,2.0
400,8916379,Valerton Court,,1,2.0
401,8916380,McRae Street,,14,2.0
402,8916381,Colonial Way,,2,1.0
403,8916384,San Marcos Avenue,,13,2.0
404,8916386,Locust Street,,5,3.0
405,8916394,Whiting Way,,4,2.0
406,8916395,Bannock Street,,2,2.0
407,8916397,Thomas Avenue,,5,2.0
408,8916398,Thomas Avenue,,13,3.0
409,8916403,Thomas Avenue,,20,3.0
410,8916404,Gaviota Way,,12,2.0
411,8916405,Bartol Street,,2,2.0
412,8916406,37th Avenue,,7,2.0
413,8916407,37th Avenue,,3,3.0
414,8916408,Garnett Terrace,,1,1.0
415,8916409,Garnett Terrace,,6,1.0
416,8916410,Charles Street,,1,2.0
417,8916413,Harry Street,,2,2.0
418,8916415,Treat Avenue,,10,2.0
419,8916416,Treat Avenue,,12,2.0
420,8916417,Treat Avenue,,2,1.0
421,8916421,Castro Street,,12,4.0
422,8916422,Castro Street,,3,2.0
423,8916423,Castro Street,,12,4.0
424,8916425,Winding Way,,23,4.0
425,8916426,Winding Way,,15,4.0
426,8916428,Palos Place,,1,2.0
427,8916433,Sea Cliff Avenue,,19,2.0
428,8916435,Stow Lake Drive East,,47,3.0
429,8916439,Bay Street,,1,4.0
430,8916441,Bay Street,,5,3.0
431,8916443,Forest Road,,23,3.0
432,8916444,Phoenix Terrace,,1,2.0
433,8916445,Russell Street,,1,2.0
434,8916446,Corona Street,,28,3.0
435,8916448,43rd Avenue,,24,2.0
436,8916449,43rd Avenue,,6,3.0
437,8916450,24th Avenue,,7,4.0
438,8916451,24th Avenue,,2,2.0
439,8916452,24th Avenue,,16,2.0
440,8916453,Calhoun Terrace,,4,1.0
441,8916454,Pino Alley,,3,1.0
442,8916455,Flood Avenue,,11,2.0
443,8916456,North Van Horn Lane,,2,1.0
444,8916458,Beach Street,,3,3.0
445,8916459,Beach Street,,6,2.0
446,8916460,Hopkins Avenue,,1,2.0
447,8916461,Hemway Terrace,,2,3.0
448,8916463,Walnut Street,,4,4.0
449,8916465,Raymond Avenue,,13,2.0
450,8916466,Beaumont Avenue,,2,2.0
451,8916468,Beaumont Avenue,,4,3.0
452,8916469,Arch Street,,2,2.0
453,8916470,Arch Street,,4,3.0
454,8916471,Avoca Alley,,1,2.0
455,8916472,Elsie Street,,7,3.0
456,8916473,Elsie Street,,3,2.0
457,8916475,Elsie Street,,9,3.0
458,8916476,Doric Alley,,1,2.0
459,8916478,Security Pacific Place,,1,1.0
460,8916481,Cameo Way,,30,2.0
461,8916484,9th Avenue,,2,4.0
462,8916485,9th Avenue,,7,4.0
463,8916486,9th Avenue,,13,3.0
464,8916488,Topeka Avenue,,17,3.0
465,8916490,Child Street,,1,3.0
466,8916491,Watt Avenue,,2,2.0
467,8916492,Garden Street,,1,2.0
468,8916494,Hahn Street,,4,2.0
469,8916496,Surrey Street,,20,3.0
470,8916497,Surrey Street,,12,2.0
471,8916498,Washburn Street,,1,2.0
472,8916499,Jansen Street,,1,2.0
473,8916500,Ada Court,,2,2.0
474,8916501,Lake Merced Hills Street,2,7,2.0
475,8916502,Levant Street,,8,4.0
476,8916504,Moffitt Street,,25,2.0
477,8916508,Christmas Tree Point Road,,34,5.0
478,8916511,Bonview Street,,3,1.0
479,8916512,Bonview Street,,4,2.0
480,8916513,Waterloo Street,,2,2.0
481,8916515,Oneida Avenue,,2,2.0
482,8916517,Oneida Avenue,,2,2.0
483,8916518,Mabrey Court,,3,1.0
484,8916520,Bella Vista Way,,42,3.0
485,8916522,Bella Vista Way,,25,2.0
486,8916524,Carrie Street,,1,2.0
487,8916525,Frederick Street,,2,4.0
488,8916526,Lexington Street,,4,2.0
489,8916527,Manchester Street,,2,2.0
490,8916529,Pope Road,,27,5.0
491,8916531,Faxon Avenue,,1,2.0
492,8916532,Faxon Avenue,,5,3.0
493,8916534,Faxon Avenue,,54,3.0
494,8916535,Faxon Avenue,,6,2.0
495,8916538,Uranus Terrace,,4,2.0
496,8916540,Pretor Way,,1,2.0
497,8916542,Crestmont Drive,,31,2.0
498,8916543,Foote Avenue,,7,2.0
499,8916545,Leroy Place,,4,2.0
500,8916546,Emmett Court,,1,1.0
501,8916547,Capitol Avenue,,17,2.0
502,8916548,Crags Court,,9,1.0
503,8916549,Westbrook Court,,3,1.0
504,8916550,Sunnydale Avenue,,2,4.0
505,8916551,South Park Avenue,,1,3.0
506,8916553,South Park Avenue,,9,3.0
507,8916554,Peabody Street,,3,2.0
508,8916555,Chaves Avenue,,15,2.0
509,8916557,Sadowa Street,,3,2.0
510,8916558,Inverness Drive,,2,2.0
511,8916560,Fredela Lane,,5,2.0
512,8916562,Belcher Street,,1,2.0
513,8916563,Vallejo Street,,9,3.0
514,8916564,Vallejo Street,,1,3.0
515,8916567,Vallejo Street,,3,2.0
516,8916569,Arbor Street,,30,2.0
517,8916570,Burns Place,,4,1.0
518,8916572,34th Avenue,,6,2.0
519,8916575,34th Avenue,,2,4.0
520,8916576,Carpenter Court,,3,1.0
521,8916577,Reno Place,,1,2.0
522,8916578,Garfield Street,,19,2.0
523,8916579,Magnolia Street,,2,2.0
524,8916580,Trader Vic Alley,,1,2.0
525,8916581,Hoff Street,,2,2.0
526,8916582,Thornton Avenue,,28,3.0
527,8916583,Thornton Avenue,,1,2.0
528,8916586,3rd Street,,11,4.0
529,8916590,3rd Street,,3,2.0
530,8916594,3rd Street,,13,4.0
531,8916610,3rd Street,,4,2.0
532,8916619,Ogden Avenue,,7,2.0
533,8916625,Leona Terrace,,1,1.0
534,8916631,Minerva Street,,5,2.0
535,8916633,Minerva Street,,2,2.0
536,8916634,Redondo Street,,1,3.0
537,8916635,Amethyst Way,,11,2.0
538,8916637,Corbin Place,,1,2.0
539,8916638,Winter Place,,2,2.0
540,8916641,Entrada Court,,1,2.0
541,8916642,Aptos Avenue,,25,2.0
542,8916644,Ggp Access Road,,3,1.0
543,8916654,Clipper Terrace,,3,2.0
544,8916657,Portola Street,,4,3.0
545,8916658,Genoa Place,,1,2.0
546,8916661,Elk Street,,10,5.0
547,8916662,Broderick Street,,13,2.0
548,8916663,Guttenberg Street,,7,2.0
549,8916664,Rivas Avenue,,5,2.0
550,8916665,Detroit Street,,4,2.0
551,8916666,Detroit Street,,2,2.0
552,8916667,Avery Street,,1,2.0
553,8916671,Mansell Street,,11,3.0
554,8916675,Burrows Street,,10,2.0
555,8916676,Burrows Street,,5,2.0
556,8916678,Burrows Street,,6,2.0
557,8916683,21st Street,,18,3.0
558,8916685,Plaza Street,,2,2.0
559,8916686,Howe Road,,7,2.0
560,8916688,Whitney Young Circle,,28,3.0
561,8916689,Capistrano Avenue,,25,2.0
562,8916690,Banks Street,,1,3.0
563,8916691,Roberts Street,,1,1.0
564,8916694,Banks Street,,2,3.0
565,8916700,Banks Street,,1,2.0
566,8916701,Mill Street,,1,2.0
567,8916707,Blythdale Avenue,,16,2.0
568,8916716,Gateview Court,,2,1.0
569,8916719,Gateview Court,,2,1.0
570,8916722,Gateview Court,,1,1.0
571,8916724,Gateview Court,,2,1.0
572,8916725,Mercedes Way,,2,4.0
573,8916727,Ozbourn Court,,2,3.0
574,8916729,Argent Alley,,10,4.0
575,8916731,Rayburn Street,,1,2.0
576,8916732,Temple Street,,2,2.0
577,8916733,Vermehr Place,,1,2.0
578,8916734,Quane Street,,3,2.0
579,8916736,6th Avenue,,2,3.0
580,8916738,6th Avenue,,7,4.0
581,8916740,6th Avenue,,4,2.0
582,8916741,Cutler Avenue,,1,2.0
583,8916744,Alberta Street,,1,2.0
584,8916746,Hare Street,,1,1.0
585,8916748,Marengo Street,,4,2.0
586,8916750,Eastman Place,,4,2.0
587,8916751,Heather Avenue,,6,2.0
588,8916752,Clarion Alley,,1,2.0
589,8916757,Font Boulevard,,4,1.0
590,8916758,Legion Court,,3,2.0
591,8916759,Walter Street,,1,2.0
592,8916760,Nueva Avenue,,2,2.0
593,8916761,Aspen Court,,2,1.0
594,8916764,Francisco Street,,3,3.0
595,8916765,Francisco Street,,3,3.0
596,8916766,Francisco Street,,4,4.0
597,8916767,Francisco Street,,3,2.0
598,8916768,Francisco Street,,21,3.0
599,8916771,Calgary Street,,3,1.0
600,8916772,Upper Terrace,,2,5.0
601,8916773,Upper Terrace,,38,3.0
602,8916774,Upper Terrace,,28,3.0
603,8916775,San Diego Avenue,,3,1.0
604,8916777,Payson Street,,4,2.0
605,8916778,Merritt Street,,3,3.0
606,8916784,Edgar Place,,6,2.0
607,8916785,Conkling Street,,5,2.0
608,8916786,Vicksburg Street,,3,4.0
609,8916787,Arkansas Street,,7,4.0
610,8916788,Oak Grove Street,,1,2.0
611,8916792,7th Street,,7,3.0
612,8916793,Telegraph Place,,1,3.0
613,8916796,Sunview Drive,,9,1.0
614,8916797,Compton Road,,10,2.0
615,8916798,Alameda Street,,11,2.0
616,8916802,Ashton Avenue,,2,3.0
617,8916803,Farragut Avenue,,8,2.0
618,8916804,Mansfield Street,,1,2.0
619,8916805,Elim Street,,1,2.0
620,8916806,Ervine Street,,1,2.0
621,8916807,Ervine Street,,3,1.0
622,8916808,Loraine Court,,1,2.0
623,8916809,Diamond Street,,1,3.0
624,8916810,Diamond Street,,31,4.0
625,8916811,Diamond Street,,12,2.0
626,8916812,Diamond Street,,3,3.0
627,8916813,Bishop Street,,1,2.0
628,8916814,Ridgewood Avenue,,5,3.0
629,8916820,Lincoln Way,,16,3.0
630,8916823,Lincoln Way,,4,4.0
631,8916824,Spindrift Circle,,2,1.0
632,8916825,McRae Lane,,2,1.0
633,8916826,Lily Street,,4,2.0
634,8916828,Galewood Circle,,4,2.0
635,8916830,Galewood Circle,,3,3.0
636,8916831,Westmoorland Drive,,1,2.0
637,8916832,Douglass Street,,1,5.0
638,8916833,Quesada Avenue,,9,2.0
639,8916834,Quesada Avenue,,17,4.0
640,8916835,Quesada Avenue,,3,4.0
641,8916840,Burnett Avenue,,49,3.0
642,8916841,Burnett Avenue,,7,3.0
643,8916844,Wilde Avenue,,5,2.0
644,8916845,Wilde Avenue,,3,3.0
645,8916847,Missouri Street,,1,3.0
646,8916851,Brant Alley,,2,2.0
647,8916852,Darrell Place,,2,1.0
648,8916853,Clipper Street,,7,4.0
649,8916854,Patterson Street,,2,2.0
650,8916856,Forest Hill Path,,1,2.0
651,8916857,John Street,,2,2.0
652,8916858,Ardath Court,,5,1.0
653,8916860,Hamilton Street,,8,2.0
654,8916861,Hamilton Street,,2,2.0
655,8916862,Vernon Street,,5,2.0
656,8916863,Havens Street,,1,2.0
657,8916865,Jack Kerouac Alley,,1,2.0
658,8916866,Velasco Avenue,,15,3.0
659,8916867,Montgomery Street,,9,3.0
660,8916871,Rio Verde Street,,1,1.0
661,8916874,Flounder Court,,4,1.0
662,8916880,Montclair Terrace,,8,2.0
663,8916881,Parkridge Drive,,10,3.0
664,8916882,Cushman Street,,2,2.0
665,8916883,Gilman Avenue,,7,3.0
666,8916885,Silver Avenue,,1,4.0
667,8916886,Rivoli Street,,3,2.0
