id,lon,lat,streets,alt
72216,-122.4100643,37.7090742,Tomaso Court,9.970050812
72218,-122.408582,37.767028,15th & Hampshire,20.60259819
70733,-122.420157,37.7800817,Van Ness & McAllister,20.54618263
70731,-122.4153225,37.7807118,McAllister & Hyde,16.04181862
70732,-122.4169614,37.7804935,Larkin & McAllister,17.79316521
75074,-122.4026837,37.7279672,James Lick,21.64523888
55099,-122.3864053,37.7111364,Jamestown & Harney,8.602747917
877547,-122.4159485,37.7777841,Hayes & Market,17.16923904
66417,-122.3961332,37.7308257,Diana,23.49542046
66416,-122.414785,37.80023,Redfield,45.33480072
57519,-122.4156773,37.7991423,Macondray & Jones,77.72407532
57520,-122.417312,37.798942,Macondray & Leavenworth,88.45402527
56824,-122.400416,37.752075,De Haro & 25th,54.75852203
56821,-122.39883,37.752044,Littlefield Terrace & 25th,55.2119751
58949,-122.4463859,37.7672224,Frederick & Ashbury,113.4379044
58950,-122.4472124,37.7671133,Downey & Frederick,111.9882889
73415,-122.4198442,37.7666729,15th & Mission,7.88866663
64645,-122.3613598,37.8101663,Healy & Fresnel,3.586812496
64,-122.3989008,37.7169496,James Lick,50.82144547
56732,-122.4223887,37.7338243,Justin & Murray,52.45082855
56735,-122.4220521,37.7331709,Justin & Benton,46.83839798
59387,-122.392959,37.7285305,Lane & Wallace & 3rd,12.35409069
62816,-122.4697692,37.7142853,19th & Randolph & Byxbee,74.28078461
62817,-122.4693408,37.7138146,Saint Charles & 19th,74.87519836
62725,-122.4591449,37.7850585,Cornwall & Arguello,60.6717453
58620,-122.5029725,37.7643485,43rd & Lincoln,23.22627449
58621,-122.502834,37.7624285,43rd & Irving,21.81427002
58622,-122.5027131,37.760568,43rd & Judah,22.51402664
811853,-122.4586878,37.7671653,Kezar & Martin Luther King,84.8338623
60755,-122.449454,37.768729,Belvedere & Waller,89.126297
60754,-122.449645,37.769662,Belvedere & Haight,85.52474976
402649,-122.4243854,37.7752543,Hickory (planned) & Octavia,19.6825943
58460,-122.4324776,37.7350123,Castro & Laidley,73.81138611
58459,-122.4325541,37.735856,Castro & Bemis & Sussex,89.27294922
70073,-122.414447,37.741552,Ellsworth & Powhattan,99.3804245
59057,-122.445458,37.713196,Foote & Ellington,80.81575012
65371,-122.4509345,37.8046361,Mason & Crook,4.507002354
68656,-122.438635,37.728156,San Gabriel & Santa Rosa,43.94832993
68657,-122.439097,37.728404,San Gabriel & Santa Rosa,46.7161293
58068,-122.438452,37.782558,Beideman & O'Farrell,48.52630615
73516,-122.4570149,37.798642,Mesa & Presidio,28.36194992
144482,-122.4860025,37.734174,El Mirasol Place & Sloat,42.92954254
59227,-122.414416,37.772161,Burns Place & 11th,8.183400154
62540,-122.4385033,37.7395036,Onique & Gold Mine,166.5088501
62541,-122.4379883,37.7399187,Topaz & Onique,183.7449341
66341,-122.4097493,37.7119549,Delta & Visitacion,21.43873215
69092,-122.4619119,37.7408177,Allston & Ulloa,124.1906281
58715,-122.4070818,37.7132301,Raymond & Rutland,27.68005562
58711,-122.4486742,37.7879731,Walnut & Sacramento,89.69238281
58713,-122.4052735,37.7125577,Raymond & Alpha,20.15404129
58712,-122.403337,37.7118119,Raymond & Bayshore,14.73415947
61113,-122.4067064,37.7561619,Potrero & 22nd,17.82271004
61112,-122.4067708,37.7568344,Potrero & 22nd,18.67771721
59128,-122.3941063,37.781702,Jack London & South Park,9.930502892
72709,-122.462851,37.746757,Path & Castenada,180.5674591
67222,-122.4099817,37.7473927,Precita,20.33832169
70136,-122.4123663,37.7714847,Juniper,7.165615559
60367,-122.406684,37.7192191,Hamilton & Delta,95.02607727
63352,-122.488606,37.774241,Cabrillo & 29th,54.55121231
63353,-122.4878313,37.7630944,29th & Irving,59.21092987
68402,-122.392998,37.7798982,Clarence Place,7.261383533
59660,-122.437337,37.728966,Capistrano & San Gabriel,44.00778961
59659,-122.437703,37.72927,Capistrano & San Gabriel,45.95923233
65295,-122.405441,37.791536,Quincy & Pine,28.68265724
65293,-122.40533,37.791069,Quincy,24.41544724
63345,-122.473999,37.799655,Upton,77.73392487
63344,-122.473184,37.80016,Upton & Wool Court,72.1365509
148083,-122.3905443,37.7139575,Bayview Park,116.1177979
67315,-122.427413,37.7345217,Marsilly & Saint Mary's,59.34882736
166371,-122.4692574,37.8063268,West Bluff,4.947883606
68199,-122.4220863,37.7421989,Eugenia & Mission,42.90923309
68200,-122.4209842,37.7417544,Eugenia & Coleridge,54.26565933
65673,-122.409968,37.74305,Bernal Heights,83.37818909
457406,-122.4054751,37.7983695,Dunnes & Peter Macchiarini Steps,28.84448433
72449,-122.4445853,37.7349465,Vista Verde Court,142.4726257
66681,-122.4486336,37.746531,Portola,176.6164703
58685,-122.419569,37.8067816,Columbus & Beach,6.295841217
58684,-122.4189002,37.8068667,Beach & Leavenworth,4.328795433
58687,-122.4221962,37.8064396,Beach & Larkin,8.320757866
72098,-122.4397519,37.7340473,Martha & Baden,112.3709106
72097,-122.4396373,37.7340084,Martha,112.9797211
70879,-122.467969,37.795263,Amatury Loop,96.47097015
57085,-122.4940957,37.7701473,John F Kennedy,39.85901642
186785,-122.406855,37.7442768,Faith,41.33617401
186792,-122.408645,37.7445701,Samoset & Peralta,75.38983154
186790,-122.4080117,37.7436351,Franconia,63.16682434
186793,-122.4078798,37.7461101,Franconia,55.53208542
62019,-122.4800995,37.7920176,Pershing & Treat,39.33758163
62022,-122.4795538,37.791803,Pershing & Soule,46.8281517
62023,-122.4793607,37.7917491,Pershing & Smith,49.22485733
59698,-122.4188311,37.7107186,Blythdale & Santos,36.26301956
68815,-122.4066245,37.7997997,Varennes & Green,38.40603256
64114,-122.4297726,37.7314653,Cayuga & Rousseau,35.24402618
64115,-122.428879,37.7317083,Cayuga,36.19720459
64113,-122.431393,37.731009,Cayuga & Lyell,37.02274323
56843,-122.3918937,37.755163,23rd & Iowa,9.868068695
57316,-122.4094668,37.7419571,Bradford & Bernal Heights,71.27379608
59918,-122.4218396,37.7875505,Van Ness & Sutter,52.37190628
59913,-122.4135496,37.7886003,Jones & Sutter,50.34800339
59916,-122.418465,37.787966,Sutter & Larkin,42.53774261
59917,-122.420116,37.787757,Polk & Sutter,43.72848129
69084,-122.4289968,37.7847531,Bertie Minor & Geary,46.02212906
57715,-122.410565,37.746323,Mullen & Alabama,26.14592934
64256,-122.4215958,37.7520551,San Jose & 24th,33.89348602
73702,-122.4702352,37.7432916,14th & Taraval,130.3173676
199945,-122.4003637,37.7813756,Helen Macintosh & 4th,4.296533108
61756,-122.4625796,37.711404,Orizaba & Sagamore & Brotherhood & Alemany,80.46105957
853722,-122.4424155,37.7088554,Nadell Court & Guttenberg,116.5277405
877790,-122.3995716,37.7907272,Battery & Market,4.916574478
60580,-122.4884185,37.7876341,28th & El Camino del Mar,40.48296738
61571,-122.4780942,37.7466872,21st & Rivera,132.5985565
61572,-122.4791633,37.7466381,Rivera & 22nd,131.2654572
61570,-122.4770242,37.7467363,20th & Rivera,129.1723938
75326,-122.4169972,37.7956345,Burgoyne & Pacific,75.98108673
75330,-122.4233028,37.7948059,Pacific & Van Ness,53.43456268
61902,-122.438374,37.7617464,Eureka & Market,45.11354828
