id,lon,lat
713,-122.4358116,37.8075593
501902,-122.3962159,37.7983737
442813,-122.5067351,37.7894904
3727,-122.4978237,37.7879884
4352,-122.3684142,37.7322293
231524,-122.3855229,37.7825102
231522,-122.3875056,37.7823542
498296,-122.4078861,37.8080964
498295,-122.4204536,37.8086434
442864,-122.5054543,37.7884104
442865,-122.5054449,37.7883797
442866,-122.5054382,37.7883521
3903,-122.4539713,37.8061336
1540,-122.3867755,37.7732761
853782,-122.371534,37.7337711
881166,-122.5138539,37.7778306
3636,-122.4107589,37.8098964
2398,-122.5058583,37.7881881
231525,-122.3877304,37.7833478
1956,-122.4108705,37.8100931
473474,-122.4357502,37.8075307
869831,-122.5147761,37.7794698
869832,-122.5147949,37.7794701
225737,-122.3765548,37.7380616
225736,-122.3762888,37.7381227
225741,-122.3773702,37.7385503
225740,-122.3774475,37.7381566
225739,-122.3769615,37.7382051
225738,-122.3766836,37.7381566
1592,-122.384674,37.7620901
3934,-122.4656941,37.8060331
473500,-122.4403958,37.8081664
473499,-122.4406158,37.8081113
473502,-122.4399935,37.8086157
473501,-122.4402939,37.8082257
473504,-122.4399774,37.8088276
473503,-122.4399559,37.8087386
473505,-122.440031,37.808853
2126,-122.4321276,37.8059729
2128,-122.4570896,37.8058734
437863,-122.4301758,37.809232
4033,-122.3727732,37.7455178
411119,-122.3874024,37.787707
133428,-122.38552,37.781759
501545,-122.3976135,37.7999142
4759,-122.386984,37.763576
806,-122.3641987,37.7315361
2854,-122.3914199,37.7096391
3873,-122.381376,37.7597549
3410,-122.3626251,37.8071772
3669,-122.3693906,37.7177841
869875,-122.5146535,37.7797395
869876,-122.5148652,37.7797396
869871,-122.5146309,37.7796959
869872,-122.514646,37.7796968
869869,-122.5148693,37.7796906
869870,-122.514628,37.7796908
869867,-122.514627,37.7796848
869868,-122.5146506,37.7796854
1046646,-122.3880731,37.7896503
212589,-122.432483,37.8058807
200782,-122.4519494,37.8063886
4974,-122.5119257,37.7839998
1679,-122.3796174,37.7470067
869841,-122.5146662,37.7795038
869839,-122.5148306,37.7795022
4718,-122.3703292,37.8088571
2537,-122.42271,37.8100824
4777,-122.4107281,37.8099075
406825,-122.5105493,37.754398
1574,-122.403901,37.8087504
1406623,-122.3650168,37.7326701
4223,-122.3768873,37.7239002
423772,-122.3870149,37.7469325
423773,-122.3870632,37.7471128
423774,-122.3874642,37.7470884
501743,-122.3949479,37.7974034
4163,-122.3573796,37.728783
330609,-122.4761758,37.8102523
423781,-122.3922591,37.7747568
423780,-122.3920548,37.7749154
423782,-122.3922546,37.7746504
353899,-122.3795553,37.712074
1044,-122.430318,37.8074572
133414,-122.4100636,37.8098896
2721,-122.3657713,37.7330784
2775,-122.3878734,37.7469153
200794,-122.4489008,37.8067184
200795,-122.4490896,37.8067794
454587,-122.4356384,37.806921
1195408,-122.3915975,37.7759816
1195394,-122.3899075,37.7766274
1195393,-122.3909712,37.7764925
330672,-122.4108447,37.8100998
2598,-122.3743957,37.7378078
2600,-122.3876303,37.7478652
1195424,-122.3904858,37.7768474
1195418,-122.3922253,37.7755242
3830,-122.3578176,37.726105
133386,-122.4340349,37.80642
1406577,-122.368616,37.7321695
1406573,-122.3658198,37.7317691
2586,-122.4264704,37.8079372
3986,-122.510252,37.7847663
401761,-122.3875871,37.7782445
330641,-122.4188785,37.8090827
197467,-122.4163636,37.8084792
197468,-122.4174022,37.8083367
501562,-122.3990003,37.8031851
3709,-122.3863943,37.7479874
1673,-122.3874642,37.7470195
2236,-122.4400807,37.8088285
3735,-122.4097246,37.8092725
869830,-122.5147728,37.7794655
869827,-122.5146986,37.7794561
869833,-122.5148126,37.7794782
869834,-122.5146949,37.7794801
3358,-122.3870376,37.7882157
853813,-122.3719609,37.734171
853810,-122.3732549,37.7453695
501784,-122.3962303,37.798403
1811,-122.3682897,37.7382161
357873,-122.5076495,37.7328846
357872,-122.5075851,37.732384
406827,-122.5108322,37.7557799
406826,-122.5110156,37.7568666
406828,-122.5111246,37.7576965
4721,-122.4182776,37.8092047
133270,-122.4178828,37.8090216
880,-122.4111022,37.8105542
4356,-122.3658319,37.7162458
3399,-122.5146789,37.7811911
498062,-122.4210629,37.8090064
853774,-122.3599409,37.7303457
272213,-122.5066332,37.7894353
272214,-122.5067029,37.7894967
272211,-122.5067448,37.7894661
272212,-122.50666,37.7894141
2508,-122.3627284,37.7200714
272210,-122.5098652,37.7925469
3153,-122.3934988,37.7961308
437868,-122.4290506,37.8079743
437866,-122.4285397,37.808201
437869,-122.4290989,37.8079944
3427,-122.4224361,37.809963
353901,-122.378833,37.7130406
330664,-122.4174794,37.8085944
442825,-122.506609,37.7894851
442823,-122.506613,37.7895264
442824,-122.5066211,37.7895137
442827,-122.5065943,37.7894617
442826,-122.506609,37.7894702
1559,-122.4199342,37.8091166
4290,-122.4027337,37.8080384
2777,-122.3812837,37.7558947
4036,-122.4916624,37.7880236
4913,-122.3793744,37.7179885
2085,-122.3685684,37.7379673
3226,-122.3984045,37.8006846
225264,-122.3759501,37.7358872
3768,-122.4173593,37.8081401
875435,-122.5129137,37.7828684
725,-122.3666981,37.7322462
501621,-122.395184,37.7972089
