id,lon,lat,alt
60909,-122.3948724,37.720189,18.0630550385
59380,-122.3907745,37.7348483,21.0544090271
58188,-122.438773,37.788278,54.4105796814
58185,-122.43384,37.788906,56.2070350647
58187,-122.437129,37.788488,52.6396865845
58186,-122.435486,37.788697,53.7778930664
58563,-122.431256,37.745032,85.7989578247
150569,-122.390154,37.7907372,2.69046330452
1010738,-122.498251,37.7392901,39.9878768921
70927,-122.3993626,37.7883576,5.67206096649
56527,-122.4763683,37.7374113,77.2344360352
56526,-122.475357,37.7374545,83.3781967163
56528,-122.4774444,37.7373653,71.5842514038
68343,-122.447797,37.7424196,166.736373901
68341,-122.4020835,37.7802241,3.28166627884
534599,-122.3997308,37.7790746,3.0029976368
68635,-122.4146855,37.8026138,9.57694339752
68634,-122.4136684,37.7976671,83.1380844116
63366,-122.4233586,37.7575702,30.603477478
58965,-122.414173,37.745095,59.3343505859
58966,-122.414086,37.744184,83.4121780396
73531,-122.415034,37.73092,48.621421814
273967,-122.3989062,37.7950848,2.84957766533
652343,-122.4304632,37.7665513,35.9446678162
64140,-122.4649981,37.7424201,125.381996155
353546,-122.3986704,37.7676352,3.36403989792
353544,-122.4002276,37.7673049,3.61719322205
353547,-122.399248,37.7680872,3.15233182907
75996,-122.4480229,37.7271859,82.4328689575
58206,-122.4591919,37.7856878,63.0914611816
58207,-122.460308,37.785539,60.4508476257
67953,-122.476699,37.800946,100.538719177
192454,-122.3930699,37.7627858,25.9087791443
74044,-122.424519,37.7398569,57.6900787354
69239,-122.42898,37.736386,86.1291809082
69240,-122.428431,37.7358557,75.6183624268
69238,-122.4300852,37.7374536,111.429122925
69236,-122.461262,37.721831,91.1714553833
58643,-122.4837916,37.7820551,42.0918197632
67112,-122.4458654,37.7216285,67.6094512939
61094,-122.465564,37.7216744,85.9030380249
69431,-122.404525,37.791652,17.4983901978
69183,-122.397043,37.745974,3.21030116081
882778,-122.3880282,37.7817501,2.73766684532
1066621,-122.4637914,37.7736187,71.2700500488
621753,-122.4136478,37.7979245,88.0849075317
177187,-122.4230964,37.779261,21.9237976074
531027,-122.4850006,37.7239612,30.694984436
341142,-122.4366684,37.7649113,81.4012908936
68377,-122.4787716,37.7410404,81.2070083618
68376,-122.4789026,37.7429113,96.2350387573
58562,-122.429037,37.745165,52.521320343
