5759;05;004;L.E.P. ABBE GREGOIRE;;30;RUE SAINT JACQUES;75005                                                                                                                                            
5760;05;005;ECOLE ELEMENTAIRE;;2bis;RUE PIERRE BROSSOLETTE;75005                                                                                                                                        
5761;05;006;ECOLE ELEMENTAIRE;;2;RUE PIERRE BROSSOLETTE;75005                                                                                                                                           
5762;05;007;ECOLE ELEMENTAIRE;;250bis;RUE SAINT JACQUES;75005                                                                                                                                           
5763;05;008;ECOLE ELEMENTAIRE;;250bis;RUE SAINT JACQUES;75005                                                                                                                                           
5764;05;009;LYCEE LAVOISIER;;17;RUE HENRI BARBUSSE;75005                                                                                                                                                
5765;05;010;LYCEE LAVOISIER;;10;RUE PIERRE NICOLE;75005                                                                                                                                                 
5766;05;011;ECOLE ELEMENTAIRE;;41;RUE DE L ARBALETE;75005                                                                                                                                               
5767;05;012;ECOLE ELEMENTAIRE;;41;RUE DE L ARBALETE;75005                                                                                                                                               
5768;05;013;ANNEXE DU COLLEGE PIERRE ALVISET;;51;RUE LHOMOND;75005                                                                                                                                      
5769;05;014;COLLEGE PIERRE ALVISET;;88;RUE MONGE;75005                                                                                                                                                  
5770;05;015;COLLEGE PIERRE ALVISET;;88;RUE MONGE;75005                                                                                                                                                  
5771;05;016;COLLEGE PIERRE ALVISET;;88;RUE MONGE;75005                                                                                                                                                  
5772;05;017;COLLEGE RAYMOND QUENEAU;;66;BOULEVARD SAINT MARCEL;75005                                                                                                                                    
5773;05;018;COLLEGE RAYMOND QUENEAU;;66;BOULEVARD SAINT MARCEL;75005                                                                                                                                    
5774;05;019;GYMNASE POLIVEAU;;39bis;RUE POLIVEAU;75005                                                                                                                                                  
5775;05;020;ECOLE ELEMENTAIRE;;11;RUE BUFFON;75005                                                                                                                                                      
5776;05;021;ECOLE MATERNELLE;;27;RUE DE POISSY;75005                                                                                                                                                    
5777;05;022;ECOLE ELEMENTAIRE;;21;RUE DE PONTOISE;75005                                                                                                                                                 
5778;05;023;ECOLE SAINTE CATHERINE;;13bis;RUE DES BERNARDINS;75005                                                                                                                                      
5779;05;024;ECOLE ELEMENTAIRE;;19;RUE DES BOULANGERS;75005                                                                                                                                              
5780;05;025;ECOLE ELEMENTAIRE;;10;RUE ROLLIN;75005                                                                                                                                                      
5781;06;001;MAIRIE D'ARRONDISSEMENT;;78;RUE BONAPARTE;75006                                                                                                                                             
5782;06;002;MAIRIE D'ARRONDISSEMENT;;78;RUE BONAPARTE;75006                                                                                                                                             
5783;06;003;ECOLE ELEMENTAIRE;;9;RUE DE VAUGIRARD;75006                                                                                                                                                 
5784;06;004;ETABLISSEMENT SCOLAIRE;;2;RUE DU PONT DE LODI;75006                                                                                                                                         
5785;06;005;ECOLE ELEMENTAIRE;;7;RUE DU JARDINET;75006                                                                                                                                                  
5786;06;006;ECOLE MATERNELLE;;39;RUE SAINT ANDRE DES ARTS;75006                                                                                                                                         
5787;06;007;LYCEE MAXIMILIEN VOX;;5;RUE MADAME;75006                                                                                                                                                    
5788;06;008;COLLEGE JACQUES PREVERT;;18;RUE SAINT BENOIT;75006                                                                                                                                          
5789;06;009;COLLEGE JACQUES PREVERT;;18;RUE SAINT BENOIT;75006                                                                                                                                          
5790;06;010;LYCEE MONTAIGNE;;15;RUE AUGUSTE COMTE;75006                                                                                                                                                 
5791;06;011;MAIRIE D'ARRONDISSEMENT;;19;RUE MADAME;75006                                                                                                                                                
5792;06;012;ECOLE ELEMENTAIRE;;42;RUE MADAME;75006                                                                                                                                                      
5793;06;013;CENTRE ANDRE MALRAUX;;112;RUE DE RENNES;75006                                                                                                                                               
5794;06;014;CENTRE ANDRE MALRAUX;;112;RUE DE RENNES;75006                                                                                                                                               
