country,ventilation,group,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
0,0,All,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,1,female,1.000026822,1.00012517,1.000026822,0.999928474,1.000026822,0.999830127,0.999830127,1.00012517,0.999928474,1.00012517,1.000026822,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,1,male,1.00001944,1.00001944,1.000090718,0.999805604,0.999948161,1.000090718,0.999948161,1.000090718,0.999948161,1.00001944,1.00001944,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,15-24,1.00005681,1.000265111,1.00005681,0.999848508,1.00005681,0.999640206,0.999640206,1.000265111,0.999848508,1.000265111,1.00005681,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,25-34,0.999886669,0.999886669,0.999886669,0.999886669,0.999886669,0.999886669,0.999886669,1.001133305,0.999886669,0.999886669,0.999886669,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,35-44,1.000118203,0.999793144,0.999955674,0.999955674,1.000118203,1.000118203,0.999793144,0.999955674,1.000118203,0.999955674,1.000118203,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,45-54,1.000173199,1.000173199,1.000173199,0.999901029,1.000173199,1.000173199,0.999901029,1.000173199,1.000173199,0.999901029,0.999084521,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,55-64,0.999636298,1.003637025,1.003637025,0.999636298,0.997635934,0.997635934,0.997635934,0.999636298,0.999636298,0.997635934,1.003637025,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
0,2,65+,1.000326158,0.99853229,1.000326158,0.99853229,1.000326158,1.002120026,1.000326158,0.99853229,1.000326158,1.000326158,1.000326158,1.000011271,1.000052598,1.000011271,0.999969944,1.000011271,0.999928618,0.999928618,1.000052598,0.999969944,1.000052598,1.000011271
1,0,All,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692,1.000012692,1.00005923,1.000012692,0.999966154,1.000012692,0.999919616,0.999919616,1.00005923,0.999966154,1.00005923,1.000012692
