country,count,housing,income,jobs,community,education,environment,governance,health,satisfaction,safety,balance,housing0,housing1,housing2,housing3,housing4,housing5,income0,income1,income2,income3,income4,income5,jobs0,jobs1,jobs2,jobs3,jobs4,jobs5,community0,community1,community2,community3,community4,community5,education0,education1,education2,education3,education4,education5,environment0,environment1,environment2,environment3,environment4,environment5,governance0,governance1,governance2,governance3,governance4,governance5,health0,health1,health2,health3,health4,health5,satisfaction0,satisfaction1,satisfaction2,satisfaction3,satisfaction4,satisfaction5,safety0,safety1,safety2,safety3,safety4,safety5,balance0,balance1,balance2,balance3,balance4,balance5
ESP,314,0.941364192,0.889971652,1.02687917,0.915322412,1.128784557,1.003621693,0.833516452,1.155111069,1.119805425,0.973674216,1.011949162,0.025477707,0.136942675,0.105095541,0.257961783,0.242038217,0.232484076,0.022292994,0.127388535,0.143312102,0.334394904,0.200636943,0.171974522,0.012738854,0.121019108,0.092356688,0.194267516,0.334394904,0.24522293,0.022292994,0.156050955,0.111464968,0.257961783,0.238853503,0.213375796,0.006369427,0.117834395,0.035031847,0.127388535,0.270700637,0.442675159,0.00955414,0.130573248,0.066878981,0.242038217,0.267515924,0.28343949,0.025477707,0.203821656,0.133757962,0.289808917,0.171974522,0.175159236,0.006369427,0.114649682,0.031847134,0.095541401,0.257961783,0.493630573,0.00955414,0.114649682,0.035031847,0.178343949,0.251592357,0.410828025,0.025477707,0.140127389,0.060509554,0.194267516,0.334394904,0.24522293,0.022292994,0.124203822,0.066878981,0.210191083,0.248407643,0.328025478
BEL,272,1.020431354,0.94649211,0.997494156,0.896817704,1.11155615,1.029125577,0.713286419,1.16831513,1.160082688,0.966062756,0.990335954,0.022058824,0.077205882,0.069852941,0.220588235,0.371323529,0.238970588,0.014705882,0.113970588,0.125,0.279411765,0.283088235,0.183823529,0.011029412,0.117647059,0.073529412,0.246323529,0.330882353,0.220588235,0.018382353,0.147058824,0.136029412,0.297794118,0.235294118,0.165441176,0.011029412,0.084558824,0.058823529,0.143382353,0.286764706,0.415441176,0.011029412,0.088235294,0.128676471,0.1875,0.238970588,0.345588235,0.040441176,0.224264706,0.238970588,0.238970588,0.158088235,0.099264706,0.011029412,0.069852941,0.029411765,0.128676471,0.257352941,0.503676471,0.014705882,0.0625,0.044117647,0.143382353,0.242647059,0.492647059,0.025735294,0.088235294,0.113970588,0.279411765,0.235294118,0.257352941,0.018382353,0.125,0.084558824,0.216911765,0.264705882,0.290441176
PRT,271,0.93951087,0.988009315,1.047998683,0.878469352,1.04381915,0.996287009,0.846007365,1.05479162,1.142807882,1.014487505,1.047811249,0.007380074,0.188191882,0.092250923,0.291512915,0.236162362,0.184501845,0.011070111,0.158671587,0.099630996,0.236162362,0.250922509,0.243542435,0.011070111,0.158671587,0.055350554,0.191881919,0.291512915,0.291512915,0.022140221,0.188191882,0.095940959,0.302583026,0.232472325,0.158671587,0.018450185,0.166051661,0.014760148,0.169741697,0.26199262,0.36900369,0.018450185,0.158671587,0.055350554,0.232472325,0.239852399,0.295202952,0.014760148,0.225092251,0.118081181,0.291512915,0.195571956,0.15498155,0.014760148,0.15498155,0.018450185,0.132841328,0.335793358,0.343173432,0.014760148,0.132841328,0.05904059,0.088560886,0.236162362,0.468634686,0.018450185,0.15498155,0.033210332,0.21402214,0.254612546,0.324723247,0.022140221,0.140221402,0.044280443,0.162361624,0.250922509,0.380073801
TUR,246,0.95007709,1.00269074,0.972324411,0.921758568,1.081489806,0.992291369,0.852966517,1.090831473,1.058566781,1.066037214,1.010966031,0.020325203,0.280487805,0.069105691,0.227642276,0.191056911,0.211382114,0.024390244,0.243902439,0.105691057,0.150406504,0.231707317,0.243902439,0.036585366,0.264227642,0.073170732,0.158536585,0.199186992,0.268292683,0.024390244,0.31300813,0.093495935,0.170731707,0.138211382,0.260162602,0.028455285,0.243902439,0.040650407,0.12601626,0.166666667,0.394308943,0.024390244,0.260162602,0.101626016,0.12601626,0.182926829,0.304878049,0.028455285,0.349593496,0.150406504,0.211382114,0.06504065,0.195121951,0.020325203,0.219512195,0.089430894,0.105691057,0.182926829,0.382113821,0.028455285,0.24796748,0.06097561,0.093495935,0.170731707,0.398373984,0.012195122,0.260162602,0.056910569,0.191056911,0.150406504,0.329268293,0.024390244,0.292682927,0.081300813,0.130081301,0.162601626,0.308943089
JPN,191,0.977639185,0.914298875,0.989811137,0.919105112,1.059460882,0.974547108,0.764966675,1.079892355,1.104510377,1.179112061,1.036656233,0.02617801,0.188481675,0.136125654,0.261780105,0.188481675,0.19895288,0.015706806,0.230366492,0.130890052,0.287958115,0.178010471,0.157068063,0.010471204,0.214659686,0.09947644,0.246073298,0.214659686,0.214659686,0.005235602,0.235602094,0.183246073,0.256544503,0.151832461,0.167539267,0.005235602,0.214659686,0.062827225,0.183246073,0.214659686,0.319371728,0.010471204,0.214659686,0.130890052,0.22513089,0.219895288,0.19895288,0.020942408,0.335078534,0.219895288,0.246073298,0.083769634,0.094240838,0.010471204,0.209424084,0.057591623,0.115183246,0.277486911,0.329842932,0.005235602,0.209424084,0.047120419,0.178010471,0.209424084,0.35078534,0.005235602,0.188481675,0.020942408,0.136125654,0.235602094,0.413612565,0.010471204,0.22513089,0.094240838,0.183246073,0.188481675,0.298429319
HUN,185,1.000821641,0.936876607,0.971266946,0.960658289,1.060130837,1.04287173,0.784669842,1.091144625,1.103773951,1.058026143,0.989759387,0.010810811,0.124324324,0.07027027,0.281081081,0.324324324,0.189189189,0.010810811,0.135135135,0.140540541,0.275675676,0.27027027,0.167567568,0.005405405,0.145945946,0.118918919,0.232432432,0.302702703,0.194594595,0.005405405,0.145945946,0.118918919,0.275675676,0.254054054,0.2,0.005405405,0.12972973,0.075675676,0.2,0.286486486,0.302702703,0.010810811,0.124324324,0.075675676,0.189189189,0.308108108,0.291891892,0.010810811,0.27027027,0.167567568,0.254054054,0.2,0.097297297,0.005405405,0.135135135,0.048648649,0.156756757,0.286486486,0.367567568,0.005405405,0.12972973,0.075675676,0.156756757,0.227027027,0.405405405,0.005405405,0.12972973,0.048648649,0.227027027,0.335135135,0.254054054,0.005405405,0.162162162,0.097297297,0.205405405,0.221621622,0.308108108
RUS,176,1.016667353,0.999760503,1.105242336,0.979403928,1.248116751,0.97624131,0.676017389,0.992503351,1.041354978,0.913877748,1.050814353,0.142045455,0.147727273,0.198863636,0.210227273,0.125,0.176136364,0.090909091,0.204545455,0.198863636,0.221590909,0.119318182,0.164772727,0.073863636,0.181818182,0.181818182,0.215909091,0.159090909,0.1875,0.079545455,0.278409091,0.232954545,0.181818182,0.113636364,0.113636364,0.051136364,0.176136364,0.221590909,0.130681818,0.1875,0.232954545,0.079545455,0.295454545,0.159090909,0.181818182,0.102272727,0.181818182,0.113636364,0.477272727,0.170454545,0.113636364,0.051136364,0.073863636,0.090909091,0.295454545,0.113636364,0.119318182,0.130681818,0.25,0.085227273,0.284090909,0.119318182,0.113636364,0.125,0.272727273,0.090909091,0.329545455,0.130681818,0.136363636,0.130681818,0.181818182,0.068181818,0.272727273,0.170454545,0.181818182,0.130681818,0.176136364
BRA,156,0.967865549,0.903781781,0.958465243,0.882189071,1.160412671,1.022124497,0.809737041,1.115960851,1.153239349,1.023251414,1.002972532,0.025641026,0.141025641,0.096153846,0.307692308,0.243589744,0.185897436,0.032051282,0.192307692,0.115384615,0.282051282,0.179487179,0.198717949,0.019230769,0.185897436,0.096153846,0.269230769,0.211538462,0.217948718,0.025641026,0.205128205,0.147435897,0.301282051,0.141025641,0.179487179,0.032051282,0.128205128,0.019230769,0.128205128,0.16025641,0.532051282,0.006410256,0.192307692,0.070512821,0.275641026,0.198717949,0.256410256,0.025641026,0.269230769,0.173076923,0.224358974,0.134615385,0.173076923,0.019230769,0.153846154,0.051282051,0.115384615,0.211538462,0.448717949,0.025641026,0.147435897,0.044871795,0.173076923,0.185897436,0.423076923,0.038461538,0.16025641,0.083333333,0.192307692,0.134615385,0.391025641,0.012820513,0.185897436,0.083333333,0.243589744,0.16025641,0.314102564
CHL,149,0.975669679,0.910256243,1.011176969,0.933960327,1.185165369,1.002250759,0.873243842,1.07133853,1.089398884,0.916895065,1.030644333,0.033557047,0.167785235,0.127516779,0.268456376,0.167785235,0.234899329,0.020134228,0.261744966,0.161073826,0.201342282,0.134228188,0.22147651,0.033557047,0.187919463,0.120805369,0.174496644,0.214765101,0.268456376,0.020134228,0.268456376,0.087248322,0.194630872,0.167785235,0.261744966,0.013422819,0.201342282,0.040268456,0.073825503,0.167785235,0.503355705,0.026845638,0.248322148,0.046979866,0.147651007,0.161073826,0.369127517,0.020134228,0.302013423,0.087248322,0.255033557,0.120805369,0.214765101,0.006711409,0.22147651,0.080536913,0.127516779,0.161073826,0.402684564,0.013422819,0.208053691,0.093959732,0.11409396,0.127516779,0.44295302,0.040268456,0.248322148,0.093959732,0.201342282,0.174496644,0.241610738,0.013422819,0.241610738,0.080536913,0.147651007,0.120805369,0.395973154
NZL,142,0.935547791,0.901898025,0.95927651,0.968298314,1.058569932,1.084693365,0.799734111,1.144563731,1.114285474,1.006909785,1.026222962,0.063380282,0.11971831,0.084507042,0.274647887,0.225352113,0.232394366,0.028169014,0.190140845,0.14084507,0.274647887,0.161971831,0.204225352,0.014084507,0.218309859,0.077464789,0.190140845,0.246478873,0.253521127,0.021126761,0.183098592,0.091549296,0.23943662,0.211267606,0.253521127,0.028169014,0.154929577,0.063380282,0.154929577,0.309859155,0.288732394,0.014084507,0.176056338,0.028169014,0.147887324,0.23943662,0.394366197,0.021126761,0.23943662,0.197183099,0.288732394,0.112676056,0.14084507,0.007042254,0.154929577,0.028169014,0.105633803,0.309859155,0.394366197,0.028169014,0.161971831,0.028169014,0.063380282,0.190140845,0.528169014,0.007042254,0.190140845,0.091549296,0.232394366,0.169014085,0.309859155,0.042253521,0.169014085,0.028169014,0.147887324,0.232394366,0.38028169
