streetId, nodeId
0,5226
0,143
1,417
1,201010
2,238588
2,121196
3,335
3,335
4,201051
4,432
5,5158
5,5159
6,5162
6,138520
7,5224
7,5224
8,5225
8,309359
9,1099550
9,94142
10,5574
10,57520
11,6161
11,5592
12,5725
12,5592
12,5611
13,5227
13,5226
14,64
14,329943
15,6418
15,6426
15,6434
16,6477
16,6480
17,6207
17,6251
18,6251
18,54267
18,365886
18,6252
18,365887
18,6253
18,6254
18,365849
18,6255
18,6256
18,6257
18,365850
18,6258
18,6500
18,6259
18,6260
18,365851
18,365852
18,6261
18,508445
18,6262
18,508493
18,102010
18,6303
19,6156
19,6175
19,204241
19,204242
19,101627
19,1127064
19,6176
19,204243
20,6156
20,6161
20,457629
21,6360
21,6376
22,6376
22,347625
23,6434
23,441691
23,6418
24,6342
24,6347
25,6348
25,1397049
25,6353
26,6354
26,6357
26,37272
27,6426
27,6433
28,5841
28,6342
29,6473
29,6474
29,208343
29,6411
30,6412
30,6472
31,248
31,667370
32,6613
32,115402
33,6645
33,6649
34,6649
34,6666
35,598061
35,256685
36,412878
36,599069
37,123388
37,667734
38,412121
38,412057
39,412396
39,9981
40,9965
40,9989
41,10534
41,279282
42,10695
42,10696
43,7379
43,189029
44,11504
44,11505
44,11506
45,30268
45,22915
46,11950
46,120046
47,13027
47,13028
48,8915
48,16347
49,335596
49,9969
50,412108
50,9965
51,375455
51,375456
51,18650
52,18677
52,18678
53,19411
53,19412
53,19413
53,11505
53,1042120
54,19946
54,539300
55,20490
55,150724
55,20493
55,20495
56,20739
56,134554
57,21042
57,403578
58,24556
58,24567
59,17107
59,456495
60,858716
60,858730
61,19414
61,27065
62,28574
62,1042124
63,29975
63,22876
64,1049109
64,13796
65,29975
65,1042147
66,17286
66,891724
66,30621
67,31416
67,32000
68,22293
68,431916
69,32473
69,32474
69,9097
70,18606
70,216443
71,127064
71,10543
72,1042127
72,19413
72,27064
73,32474
73,34385
74,431513
74,431472
75,8353
75,388647
76,11588
76,179832
77,104444
77,17260
78,20493
78,20495
79,30658
79,182763
80,36566
80,259205
81,13256
81,36458
82,437760
82,437710
82,437759
83,36959
83,57898
84,36959
84,64718
84,56057
85,36962
85,36963
86,1408218
86,473835
87,36969
87,36969
88,37034
88,37033
89,37037
89,158079
90,37036
90,37037
91,37051
91,37063
92,177488
92,177483
93,37339
93,23696
94,1093574
94,1093574
95,328379
95,328379
96,128435
96,15593
97,37367
97,8909
98,1072796
98,1072796
99,37374
99,37374
100,37423
100,361113
100,37414
100,37423
101,598640
101,37622
102,283409
102,599009
103,1041668
103,38821
104,39228
104,39230
105,39807
105,39809
106,40891
106,40892
107,39226
107,1041559
107,41414
107,41415
108,41613
108,41666
108,338955
109,42164
109,1041566
110,1041584
110,42924
