,,,,,,,,maxg,,,
024-02,,,,,blanc,871,0.010736121,0,0,FALSE,Brigitte Allain
024-02,m,Robert,DUBOIS,Dubois,FN,7238,0.143576926,0,0,FALSE,Brigitte Allain
024-02,m,Michel,DELPON,Delpon,DVG,537,0.010652226,0,0,FALSE,Brigitte Allain
024-02,f,Sandrine,RUCHOT,Ruchot,EXG,145,0.002876299,0,0,FALSE,Brigitte Allain
024-02,m,Daniel,GARRIGUE,Garrigue,DVD,7004,0.138935174,0,0,FALSE,Brigitte Allain
024-02,f,Brigitte,ALLAIN,Allain,VEC,8223,0.163115925,8223,VEC,FALSE,Brigitte Allain
024-02,f,BÈatrice,PATRIE,Patrie,DVG,7383,0.146453225,8223,VEC,FALSE,Brigitte Allain
024-02,f,Sabine,ROBERT-NOYON,Robert-Noyon,ECO,621,0.012318496,8223,VEC,FALSE,Brigitte Allain
024-02,m,Armand,ZACCARON,Zaccaron,FG,7793,0.15458621,8223,VEC,FALSE,Brigitte Allain
024-02,m,Bernard,ALBRIGO,Albrigo,EXG,324,0.006427041,8223,VEC,FALSE,Brigitte Allain
024-02,m,Dominique,MORTEMOUSQUE,Mortemousque,UMP,11144,0.221058478,8223,VEC,TRUE,Brigitte Allain
024-03,,,,,inscrits,68958,1,0,0,FALSE,Colette Langlade
024-03,,,,,abstentions,22339,0.323950811,0,0,FALSE,Colette Langlade
024-03,,,,,blanc,1040,0.015081644,0,0,FALSE,Colette Langlade
024-03,f,Vesna,LAZAREVIC,Lazarevic,ECO,335,0.007349876,0,0,FALSE,Colette Langlade
024-03,f,Dominique,HALBOUT DU TANNEY,Halbout Du Tanney,FN,4248,0.093200816,0,0,FALSE,Colette Langlade
024-03,m,Jean-Michel,FAURE,Faure,PRV,1508,0.033085412,0,0,FALSE,Colette Langlade
024-03,m,Jean-Paul,SALON,Salon,FG,3472,0.076175432,0,0,FALSE,Colette Langlade
024-03,f,Marie-Claude,ABBES,Abbes,UMP,11077,0.243028588,0,0,FALSE,Colette Langlade
024-03,f,NadËge,RAVIDAT,Ravidat,VEC,1138,0.024967639,1138,VEC,FALSE,Colette Langlade
024-03,f,Colette,LANGLADE,Langlade,SOC,23584,0.517431273,23584,SOC,FALSE,Colette Langlade
024-03,m,Jacques,DECOUPY,Decoupy,EXG,217,0.004760964,23584,SOC,TRUE,Colette Langlade
024-04,,,,,inscrits,86693,1,0,0,FALSE,Germinal Peiro
024-04,,,,,abstentions,29718,0.342795843,0,0,FALSE,Germinal Peiro
024-04,,,,,blanc,1149,0.013253665,0,0,FALSE,Germinal Peiro
024-04,f,Nathalie,FONTALIRAN,Fontaliran,UMP,13365,0.239404579,0,0,FALSE,Germinal Peiro
024-04,f,Emmanuelle,PUJOL,Pujol,FN,5975,0.107028983,0,0,FALSE,Germinal Peiro
024-04,f,Emmanuelle,FRESNE,Fresne,ECO,589,0.010550639,0,0,FALSE,Germinal Peiro
024-04,m,Michel,CHRETIEN,Chretien,ECO,457,0.00818615,0,0,FALSE,Germinal Peiro
024-04,f,Edwige,GORISSE,Gorisse,NCE,470,0.008419016,0,0,FALSE,Germinal Peiro
024-04,f,Catherine,DUPUY,Dupuy,FG,4403,0.078870061,0,0,FALSE,Germinal Peiro
024-04,m,Jean-Paul,QUENTIN,Quentin,VEC,1319,0.023626984,1319,VEC,FALSE,Germinal Peiro
024-04,f,IrËne,LEGUAY,Leguay,EXG,380,0.006806864,1319,VEC,FALSE,Germinal Peiro
024-04,m,Germinal,PEIRO,Peiro,SOC,28617,0.512610612,28617,SOC,FALSE,Germinal Peiro
024-04,m,Serge,MERCIER,Mercier,EXG,251,0.004496113,28617,SOC,TRUE,Germinal Peiro
025-01,,,,,inscrits,73025,1,0,0,FALSE,Barbara Romagnan
025-01,,,,,abstentions,29468,0.403533037,0,0,FALSE,Barbara Romagnan
025-01,,,,,blanc,535,0.007326258,0,0,FALSE,Barbara Romagnan
025-01,m,Patrick,THIELLEY,Thielley,REG,190,0.004416345,190,REG,FALSE,Barbara Romagnan
025-01,f,Julie,BAVEREL,Baverel,CEN,1019,0.023685556,190,REG,FALSE,Barbara Romagnan
025-01,m,Bernard,SERAFINOWSKI,Serafinowski,EXG,156,0.003626052,190,REG,FALSE,Barbara Romagnan
025-01,f,FranÁoise,BRANGET,Branget,UMP,14044,0.326437637,190,REG,FALSE,Barbara Romagnan
025-01,f,Mireille,PEQUIGNOT,Pequignot,AUT,713,0.016572916,190,REG,FALSE,Barbara Romagnan
025-01,f,Camille,WAECHTER,Waechter,ECO,469,0.010901399,190,REG,FALSE,Barbara Romagnan
025-01,m,HervÈ,DROUOT,Drouot,ECO,208,0.004834736,190,REG,FALSE,Barbara Romagnan
025-01,f,Catherine,BILLOD,Billod,ECO,440,0.010227326,190,REG,FALSE,Barbara Romagnan
025-01,m,Robert,SENNERICH,Sennerich,FN,5298,0.123146297,190,REG,FALSE,Barbara Romagnan
025-01,m,Daniel,DUCH√äNE,Duch„öne,AUT,61,0.001417879,190,REG,FALSE,Barbara Romagnan
025-01,f,Barbara,ROMAGNAN,Romagnan,SOC,16960,0.394216912,16960,SOC,FALSE,Barbara Romagnan
025-01,m,Emmanuel,GIROD,Girod,FG,3145,0.073102134,16960,SOC,FALSE,Barbara Romagnan
025-01,f,Nicole,FRIESS,Friess,EXG,319,0.007414811,16960,SOC,TRUE,Barbara Romagnan
025-02,,,,,inscrits,76302,1,0,0,FALSE,Eric Alauzet
025-02,,,,,abstentions,28978,0.379780347,0,0,FALSE,Eric Alauzet
025-02,,,,,blanc,691,0.009056119,0,0,FALSE,Eric Alauzet
025-02,f,Annie,M√âN√âTRIER,M„âN„âTrier,FG,3709,0.079535951,0,0,FALSE,Eric Alauzet
025-02,m,Jacques,GROSPERRIN,Grosperrin,UMP,17179,0.368387194,0,0,FALSE,Eric Alauzet
025-02,m,Jean-Pierre,JOLY,Joly,DVD,152,0.003259494,0,0,FALSE,Eric Alauzet
025-02,f,ValÈrie,MORETTO,Moretto,FN,5114,0.10966483,0,0,FALSE,Eric Alauzet
025-02,f,Brigitte,VUITTON,Vuitton,EXG,195,0.004181588,0,0,FALSE,Eric Alauzet
025-02,m,BenoÓt,VUILLEMIN,Vuillemin,AUT,925,0.019835739,0,0,FALSE,Eric Alauzet
025-02,f,Johanna,CLERC,Clerc,AUT,177,0.003795595,0,0,FALSE,Eric Alauzet
025-02,m,Philippe,GONON,Gonon,CEN,830,0.017798555,0,0,FALSE,Eric Alauzet
025-02,m,Jean-Claude,CHOMETTE,Chomette,DVD,374,0.008020072,0,0,FALSE,Eric Alauzet
025-02,m,Eric,ALAUZET,Alauzet,VEC,17153,0.367829649,17153,VEC,FALSE,Eric Alauzet
025-02,f,Elisabeth,GLADSTONE,Gladstone,ECO,514,0.011022237,17153,VEC,FALSE,Eric Alauzet
025-02,m,Julien,MARCOUT,Marcout,EXG,311,0.006669097,17153,VEC,TRUE,Eric Alauzet
025-03,,,,,inscrits,65469,1,0,0,FALSE,Arnaud Marthey
025-03,,,,,abstentions,25794,0.393987994,0,0,FALSE,Arnaud Marthey
025-03,,,,,blanc,773,0.011807115,0,0,FALSE,Arnaud Marthey
025-03,f,Catherine,COMTE-DELEUZE,Comte-Deleuze,CEN,578,0.014857848,0,0,FALSE,Arnaud Marthey
025-03,m,Lionel,MANIERE,Maniere,FG,1961,0.050408719,0,0,FALSE,Arnaud Marthey
025-03,f,Tassadit,TAHAROUNT,Taharount,VEC,719,0.01848234,719,VEC,FALSE,Arnaud Marthey
025-03,m,Arnaud,MARTHEY,Marthey,SOC,13312,0.342193203,13312,SOC,FALSE,Arnaud Marthey
025-03,m,Zakaria,BEYROUTHY,Beyrouthy,AUT,122,0.003136086,13312,SOC,FALSE,Arnaud Marthey
025-03,m,Roland,BOILLOT,Boillot,FN,7154,0.183898,13312,SOC,FALSE,Arnaud Marthey
025-03,f,Chantal,ATTAL,Attal,ECO,319,0.008200093,13312,SOC,FALSE,Arnaud Marthey
025-03,m,Marcel,BONNOT,Bonnot,UMP,14002,0.359930081,13312,SOC,FALSE,Arnaud Marthey
025-03,m,Christian,DRIANO,Driano,EXG,406,0.010436481,13312,SOC,FALSE,Arnaud Marthey
025-03,m,Vladimir,DJORDJEVIC,Djordjevic,DVG,329,0.008457149,13312,SOC,TRUE,Arnaud Marthey
025-04,,,,,inscrits,67395,1,0,0,FALSE,Pierre Moscovici
025-04,,,,,abstentions,26624,0.395044143,0,0,FALSE,Pierre Moscovici
025-04,,,,,blanc,534,0.007923436,0,0,FALSE,Pierre Moscovici
025-04,f,Chantal,ADAMI,Adami,FG,1252,0.03111564,0,0,FALSE,Pierre Moscovici
025-04,m,Antonio,SANCHEZ,Sanchez,EXG,154,0.003827323,0,0,FALSE,Pierre Moscovici
025-04,f,Sophie,MONTEL,Montel,FN,9605,0.238710639,0,0,FALSE,Pierre Moscovici
025-04,m,Michel,TREPPO,Treppo,EXG,208,0.005169371,0,0,FALSE,Pierre Moscovici
025-04,m,Jean-Claude,DURUPT,Durupt,CEN,409,0.010164774,0,0,FALSE,Pierre Moscovici
025-04,m,Charles,DEMOUGE,Demouge,UMP,9341,0.232149514,0,0,FALSE,Pierre Moscovici
025-04,m,Bernard,LACHAMBRE,Lachambre,VEC,801,0.019907051,801,VEC,FALSE,Pierre Moscovici
025-04,m,Guillaume,REFFAY,Reffay,ECO,182,0.0045232,801,VEC,FALSE,Pierre Moscovici
025-04,m,Daniel,JEANNIN,Jeannin,EXG,230,0.005716132,801,VEC,FALSE,Pierre Moscovici
025-04,m,Didier,KLEIN,Klein,PRV,673,0.016725899,801,VEC,FALSE,Pierre Moscovici
025-04,m,Ilker,CIFTCI,Ciftci,DVG,961,0.02388349,801,VEC,FALSE,Pierre Moscovici
025-04,m,Pierre,MOSCOVICI,Moscovici,SOC,16421,0.408106966,16421,SOC,TRUE,Pierre Moscovici
025-05,,,,,inscrits,77342,1,0,0,FALSE,Liliane Lucchesi
025-05,,,,,abstentions,29075,0.375927698,0,0,FALSE,Liliane Lucchesi
025-05,,,,,blanc,739,0.009554964,0,0,FALSE,Liliane Lucchesi
025-05,f,GaÎlle,WENDLINGER,Wendlinger,ECO,238,0.005007574,0,0,FALSE,Liliane Lucchesi
025-05,m,Jean-Marie,PIETOUKHOFF,Pietoukhoff,ECO,329,0.006922235,0,0,FALSE,Liliane Lucchesi
025-05,m,Christian,PETIT,Petit,CEN,575,0.012098132,0,0,FALSE,Liliane Lucchesi
025-05,m,Claude,FAIVRE,Faivre,FG,1556,0.032738596,0,0,FALSE,Liliane Lucchesi
025-05,f,Liliane,LUCCHESI,Lucchesi,SOC,11009,0.23163188,11009,SOC,FALSE,Liliane Lucchesi
025-05,f,Annie,GENEVARD,Genevard,UMP,19103,0.401931493,11009,SOC,FALSE,Liliane Lucchesi
025-05,m,FranÁois,MANDIL,Mandil,VEC,1836,0.03862986,11009,SOC,FALSE,Liliane Lucchesi
025-05,f,Odile,HUMBERT,Humbert,EXG,249,0.005239017,11009,SOC,FALSE,Liliane Lucchesi
025-05,f,Nathalie,BERTIN,Bertin,PRV,6327,0.133121528,11009,SOC,FALSE,Liliane Lucchesi
025-05,f,Chantal,CHARLES,Charles,DVD,275,0.005786063,11009,SOC,FALSE,Liliane Lucchesi
025-05,m,Claude,VERNIER,Vernier,FN,5679,0.11948746,11009,SOC,FALSE,Liliane Lucchesi
025-05,f,RenÈe,REMY,Remy,DVG,352,0.007406161,11009,SOC,TRUE,Liliane Lucchesi
026-01,,,,,inscrits,72894,1,0,0,FALSE,Alain Maurice
026-01,,,,,abstentions,30303,0.415713227,0,0,FALSE,Alain Maurice
026-01,,,,,blanc,563,0.007723544,0,0,FALSE,Alain Maurice
026-01,f,Danielle,PERSICO,Persico,VEC,2556,0.060816598,2556,VEC,FALSE,Alain Maurice
026-01,f,Rosalie,KERDO,Kerdo,CEN,990,0.023555725,2556,VEC,FALSE,Alain Maurice
026-01,m,Richard,FRITZ,Fritz,FN,5552,0.132102408,2556,VEC,FALSE,Alain Maurice
026-01,f,AdËle,KOPFF,Kopff,EXG,152,0.003616637,2556,VEC,FALSE,Alain Maurice
026-01,m,Patrick,LABAUNE,Labaune,UMP,15876,0.377748168,2556,VEC,FALSE,Alain Maurice
026-01,f,Sabrina,BENAMA,Benama,FG,2050,0.048777006,2556,VEC,FALSE,Alain Maurice
026-01,m,Alain,MAURICE,Maurice,SOC,14524,0.345579138,14524,SOC,FALSE,Alain Maurice
026-01,m,Simon,LAMBERT-BILINSKI,Lambert-Bilinski,EXG,328,0.007804321,14524,SOC,TRUE,Alain Maurice
026-02,,,,,inscrits,87797,1,0,0,FALSE,Catherine Coutard
026-02,,,,,abstentions,35429,0.40353315,0,0,FALSE,Catherine Coutard
026-02,,,,,blanc,632,0.007198424,0,0,FALSE,Catherine Coutard
026-02,m,StÈfanic,ELDIN,Eldin,DVD,469,0.009065254,0,0,FALSE,Catherine Coutard
026-02,m,Sylvain,ORTEGA,Ortega,EXG,281,0.005431421,0,0,FALSE,Catherine Coutard
026-02,m,Pierre,TRAPIER,Trapier,FG,3621,0.069989949,0,0,FALSE,Catherine Coutard
026-02,m,Alain,CSIKEL,Csikel,FN,10251,0.19814056,0,0,FALSE,Catherine Coutard
026-02,m,Jean-Louis,CHUILON,Chuilon,VEC,1709,0.033033091,1709,VEC,FALSE,Catherine Coutard
026-02,m,Franck,REYNIER,Reynier,PRV,16753,0.323817071,1709,VEC,FALSE,Catherine Coutard
026-02,f,Catherine,COUTARD,Coutard,DVG,17020,0.328977888,1709,VEC,FALSE,Catherine Coutard
026-02,m,Mario,CILLA,Cilla,EXG,188,0.003633833,1709,VEC,FALSE,Catherine Coutard
026-02,f,Odile,ROCHE,Roche,DVD,0,0,1709,VEC,FALSE,Catherine Coutard
026-02,m,Nicolas,BARTHOLLET,Barthollet,DVD,1444,0.027910932,1709,VEC,TRUE,Catherine Coutard
026-03,,,,,inscrits,102610,1,0,0,FALSE,HervÈ Rasclard
026-03,,,,,abstentions,35811,0.349001072,0,0,FALSE,HervÈ Rasclard
026-03,,,,,blanc,753,0.007338466,0,0,FALSE,HervÈ Rasclard
026-03,m,HervÈ,MARITON,Mariton,UMP,24111,0.365063743,0,0,FALSE,HervÈ Rasclard
026-03,m,Thomas,SPREUX,Spreux,EXG,255,0.003860945,0,0,FALSE,HervÈ Rasclard
026-03,m,Jean-FranÁois,JAQUIER,Jaquier,AUT,3,4.54E-05,0,0,FALSE,HervÈ Rasclard
026-03,f,EmÈa,VLAEMYNCK,Vlaemynck,ECO,577,0.008736335,0,0,FALSE,HervÈ Rasclard
026-03,f,Laure,PELLIER,Pellier,FN,9548,0.144565909,0,0,FALSE,HervÈ Rasclard
026-03,f,Chantal,FRITSCH,Fritsch,CEN,953,0.014429337,0,0,FALSE,HervÈ Rasclard
026-03,f,Mireille,BERTAUX,Bertaux,EXG,739,0.011189171,0,0,FALSE,HervÈ Rasclard
026-03,f,Corinne,MOREL DARLEUX,Morel Darleux,FG,6273,0.094979257,0,0,FALSE,HervÈ Rasclard
026-03,f,Delphine,PETIT,Petit,VEC,3858,0.058413833,3858,VEC,FALSE,HervÈ Rasclard
026-03,m,HervÈ,RASCLARD,Rasclard,SOC,19729,0.298716046,19729,SOC,TRUE,HervÈ Rasclard
026-04,,,,,inscrits,90017,1,0,0,FALSE,Nathalie Nieson
026-04,,,,,abstentions,35721,0.396825044,0,0,FALSE,Nathalie Nieson
026-04,,,,,blanc,625,0.006943133,0,0,FALSE,Nathalie Nieson
026-04,f,Claudine,CHENU,Chenu,ECO,592,0.011030165,0,0,FALSE,Nathalie Nieson
026-04,f,Marie-HÈlËne,THORAVAL,Thoraval,UMP,16100,0.299975778,0,0,FALSE,Nathalie Nieson
026-04,m,Jean-Marc,DURAND,Durand,FG,2995,0.055802948,0,0,FALSE,Nathalie Nieson
026-04,m,GÈrard,ORIOL,Oriol,DVD,1067,0.019880382,0,0,FALSE,Nathalie Nieson
026-04,f,Monique,BERNARD,Bernard,EXG,305,0.005682771,0,0,FALSE,Nathalie Nieson
026-04,m,Jacques,DURAND,Durand,AUT,11,0.000204952,0,0,FALSE,Nathalie Nieson
026-04,m,JoÎl,CHEVAL,Cheval,FN,10946,0.203946265,0,0,FALSE,Nathalie Nieson
026-04,f,Annie,VITAL,Vital,EXG,686,0.012781577,0,0,FALSE,Nathalie Nieson
026-04,m,Jean-David,ABEL,Abel,VEC,1901,0.0354195,1901,VEC,FALSE,Nathalie Nieson
026-04,f,Nathalie,NIESON,Nieson,SOC,19068,0.355275661,19068,SOC,TRUE,Nathalie Nieson
027-01,,,,,inscrits,85371,1,0,0,FALSE,Michel Champredon
027-01,,,,,abstentions,36538,0.42799077,0,0,FALSE,Michel Champredon
027-01,,,,,blanc,693,0.008117511,0,0,FALSE,Michel Champredon
027-01,m,JÈrÙme,DELENDA,Delenda,EXD,463,0.009617781,0,0,FALSE,Michel Champredon
027-01,m,Jean,LEMOINE,Lemoine,AUT,285,0.005920233,0,0,FALSE,Michel Champredon
027-01,m,Driss,ETTAZAOUI,Ettazaoui,CEN,1058,0.021977565,0,0,FALSE,Michel Champredon
027-01,m,Michel,VIMARD,Vimard,REG,190,0.003946822,190,REG,FALSE,Michel Champredon
027-01,f,Nathalie,BILLARD,Billard,FN,7921,0.164540922,190,REG,FALSE,Michel Champredon
027-01,f,Sandrine,COCAGNE,Cocagne,FG,2493,0.051786456,190,REG,FALSE,Michel Champredon
027-01,m,Jean-AndrÈ,DELABARRE,Delabarre,EXG,312,0.006481097,190,REG,FALSE,Michel Champredon
027-01,m,Michel,CHAMPREDON,Champredon,RDG,15164,0.314997923,190,REG,FALSE,Michel Champredon
027-01,m,Bruno,LE MAIRE,Le Maire,UMP,19906,0.413502285,190,REG,FALSE,Michel Champredon
027-01,f,Corinne,ROETHLISBERGER,Roethlisberger,EXG,348,0.007228916,190,REG,TRUE,Michel Champredon
027-02,,,,,inscrits,77004,1,0,0,FALSE,Jean-Louis Destans
027-02,,,,,abstentions,31446,0.408368396,0,0,FALSE,Jean-Louis Destans
027-02,,,,,blanc,693,0.008999532,0,0,FALSE,Jean-Louis Destans
027-02,m,Jean-Pierre,NICOLAS,Nicolas,UMP,15671,0.349292321,0,0,FALSE,Jean-Louis Destans
027-02,m,Jean-Louis,DESTANS,Destans,SOC,15983,0.356246517,15983,SOC,FALSE,Jean-Louis Destans
027-02,m,Emmanuel,ROUSSEL,Roussel,CEN,1159,0.025833055,15983,SOC,FALSE,Jean-Louis Destans
027-02,m,ValÈry,BEURIOT,Beuriot,FG,2488,0.055455255,15983,SOC,FALSE,Jean-Louis Destans
027-02,f,Rosine,LEWI,Lewi,EXG,163,0.003633122,15983,SOC,FALSE,Jean-Louis Destans
027-02,m,Ludovic,LESAGE,Lesage,VEC,1016,0.022645715,15983,SOC,FALSE,Jean-Louis Destans
027-02,m,Jean,LUCAT,Lucat,REG,153,0.003410231,15983,SOC,FALSE,Jean-Louis Destans
027-02,m,Eric,MARRE,Marre,EXG,288,0.006419258,15983,SOC,FALSE,Jean-Louis Destans
027-02,f,Mi-Heai,YUN,Yun,DVD,267,0.005951187,15983,SOC,FALSE,Jean-Louis Destans
027-02,m,Emmanuel,CAMOIN,Camoin,FN,7024,0.156558565,15983,SOC,FALSE,Jean-Louis Destans
027-02,m,SÈbastien,PASADOVIC,Pasadovic,EXG,188,0.004190349,15983,SOC,FALSE,Jean-Louis Destans
027-02,f,Nadia,BOUSCKRI,Bousckri,ECO,465,0.010364427,15983,SOC,TRUE,Jean-Louis Destans
027-03,,,,,inscrits,81703,1,0,0,FALSE,MÈlanie Mammeri
027-03,,,,,abstentions,32086,0.392715078,0,0,FALSE,MÈlanie Mammeri
027-03,,,,,blanc,851,0.010415774,0,0,FALSE,MÈlanie Mammeri
027-03,f,Yasmina,GHARET,Gharet,EXG,231,0.004736907,0,0,FALSE,MÈlanie Mammeri
027-03,m,Pascal,DIDTSCH,Didtsch,FG,2334,0.047861215,0,0,FALSE,MÈlanie Mammeri
027-03,m,Francis,COUREL,Courel,DVG,5535,0.11350121,0,0,FALSE,MÈlanie Mammeri
027-03,f,Annie,BRUNNER,Brunner,DVD,528,0.010827216,0,0,FALSE,MÈlanie Mammeri
027-03,f,Nadiejda,STEFFAN,Steffan,FN,7347,0.150658245,0,0,FALSE,MÈlanie Mammeri
027-03,m,HervÈ,MORIN,Morin,NCE,18725,0.383976541,0,0,FALSE,MÈlanie Mammeri
027-03,f,Sylvie,FAVIER,Favier,EXG,319,0.006541443,0,0,FALSE,MÈlanie Mammeri
027-03,f,Rebecca,ARMSTRONG,Armstrong,VEC,1421,0.029139154,1421,VEC,FALSE,MÈlanie Mammeri
027-03,f,MÈlanie,MAMMERI,Mammeri,SOC,12326,0.252758069,12326,SOC,TRUE,MÈlanie Mammeri
027-04,,,,,inscrits,86749,1,0,0,FALSE,FranÁois Loncle
027-04,,,,,abstentions,36992,0.426425665,0,0,FALSE,FranÁois Loncle
027-04,,,,,blanc,699,0.00805773,0,0,FALSE,FranÁois Loncle
027-04,f,Anne,TERLEZ,Terlez,CEN,1292,0.026336174,0,0,FALSE,FranÁois Loncle
027-04,m,Arnaud,LEVITRE,Levitre,FG,3616,0.073708671,0,0,FALSE,FranÁois Loncle
027-04,m,Christophe,SOLAL,Solal,EXG,253,0.005157161,0,0,FALSE,FranÁois Loncle
027-04,m,FranÁois-Xavier,PRIOLLAUD,Priollaud,NCE,12764,0.260181826,0,0,FALSE,FranÁois Loncle
027-04,f,Marie-JosÈe,DANELLI,Danelli,DVD,360,0.007338253,0,0,FALSE,FranÁois Loncle
027-04,f,Laetitia,SANCHEZ,Sanchez,VEC,1531,0.031207958,1531,VEC,FALSE,FranÁois Loncle
027-04,m,FranÁois,LONCLE,Loncle,SOC,19526,0.398018672,19526,SOC,FALSE,FranÁois Loncle
027-04,f,Sophie,OZANNE,Ozanne,EXG,504,0.010273554,19526,SOC,FALSE,FranÁois Loncle
027-04,f,Julie,BARBIER,Barbier,FN,9212,0.187777732,19526,SOC,TRUE,FranÁois Loncle
027-05,,,,,inscrits,87236,1,0,0,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,,,,,abstentions,36576,0.419276446,0,0,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,,,,,blanc,811,0.009296621,0,0,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,m,FranÁois,LEVE,Leve,DVD,547,0.010973139,0,0,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,f,HÈlËne,SEGURA,Segura,DVG,5884,0.11803647,0,0,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,f,Anne,MANSOURET,Mansouret,SOC,4618,0.092639772,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,f,Viviane,HORVAIS,Horvais,EXG,245,0.004914843,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,m,Jean-Luc,LECOMTE,Lecomte,FG,3289,0.065979257,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,f,JoÎlle,FONTAINE,Fontaine,ECO,858,0.01721198,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,f,Claire,O PETIT,O Petit,CEN,814,0.016329315,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,m,Alain,LUGUET,Luguet,EXG,247,0.004954964,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,m,Jean-Michel,DUBOIS,Dubois,FN,9985,0.200304921,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,m,Franck,GILARD,Gilard,UMP,16429,0.329575317,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,m,Carl,LANG,Lang,EXD,544,0.010912957,4618,SOC,FALSE,JÈrÙme Bourlet de la VallÈe
027-05,m,JÈrÙme,BOURLET DE LA VALLEE,Bourlet De La Vallee,VEC,6389,0.128167065,6389,VEC,TRUE,JÈrÙme Bourlet de la VallÈe
028-01,,,,,inscrits,87340,1,0,0,FALSE,David Lebon
028-01,,,,,abstentions,35903,0.411071674,0,0,FALSE,David Lebon
028-01,,,,,blanc,771,0.00882757,0,0,FALSE,David Lebon
028-01,m,David,LEBON,Lebon,SOC,19444,0.383768207,19444,SOC,FALSE,David Lebon
028-01,f,Nathalie,GRENIER,Grenier,FN,7283,0.143745312,19444,SOC,FALSE,David Lebon
028-01,m,Jean-Pierre,GORGES,Gorges,UMP,19562,0.386097185,19444,SOC,FALSE,David Lebon
028-01,m,Antoine,CHASSAING,Chassaing,ECO,730,0.014408084,19444,SOC,FALSE,David Lebon
028-01,m,Adrien,CHEVALIER,Chevalier,DVD,582,0.011486993,19444,SOC,FALSE,David Lebon
028-01,m,Thibaut,BRIERE-SAUNIER,Briere-Saunier,DVD,39,0.000769747,19444,SOC,FALSE,David Lebon
028-01,f,Adeline,EL-IDRISSI,El-Idrissi,DVD,428,0.00844748,19444,SOC,FALSE,David Lebon
028-01,f,MÈlinÈe,TREPPOZ,Treppoz,EXG,183,0.00361189,19444,SOC,FALSE,David Lebon
028-01,f,Marie-JosÈ,AUBERT,Aubert,EXG,287,0.005664548,19444,SOC,FALSE,David Lebon
028-01,f,Ingrid,LESCARBOTTE,Lescarbotte,FG,2128,0.042000553,19444,SOC,TRUE,David Lebon
028-02,,,,,inscrits,71956,1,0,0,FALSE,GisËle Boullais
028-02,,,,,abstentions,32975,0.458266163,0,0,FALSE,GisËle Boullais
028-02,,,,,blanc,620,0.008616377,0,0,FALSE,GisËle Boullais
028-02,m,Dominique,MAILLOT,Maillot,EXG,299,0.007794374,0,0,FALSE,GisËle Boullais
028-02,f,GisËle,QUERIT√â,Querit„â,FG,1578,0.041135528,0,0,FALSE,GisËle Boullais
028-02,f,Typhaine,RAHAULT,Rahault,EXG,157,0.004092698,0,0,FALSE,GisËle Boullais
028-02,f,Christine,CHASSAING,Chassaing,ECO,419,0.010922552,0,0,FALSE,GisËle Boullais
028-02,f,Mireille,DAMBRUN,Dambrun,DVD,209,0.005448242,0,0,FALSE,GisËle Boullais
028-02,f,GisËle,BOULLAIS,Boullais,SOC,12538,0.326842366,12538,SOC,FALSE,GisËle Boullais
028-02,f,Rondro,TSIZAZA,Tsizaza,CEN,481,0.012538776,12538,SOC,FALSE,GisËle Boullais
028-02,m,Alain,ARIPA,Aripa,DVD,156,0.00406663,12538,SOC,FALSE,GisËle Boullais
028-02,m,Jacques,DAUTR√äME,Dautr„öme,EXD,803,0.020932718,12538,SOC,FALSE,GisËle Boullais
028-02,m,DieudonnÈ,MBALA MBALA,Mbala Mbala,AUT,436,0.01136571,12538,SOC,FALSE,GisËle Boullais
028-02,f,Fatima,MENTION-KARBOUBI,Mention-Karboubi,PRV,312,0.00813326,12538,SOC,FALSE,GisËle Boullais
028-02,m,Olivier,MARLEIX,Marleix,UMP,14101,0.367586872,12538,SOC,FALSE,GisËle Boullais
028-02,m,Luc,VIRY,Viry,EXG,166,0.004327312,12538,SOC,FALSE,GisËle Boullais
028-02,m,Mourad,SOUNI,Souni,AUT,287,0.007481557,12538,SOC,FALSE,GisËle Boullais
028-02,m,JÈrÙme,VAN DE PUTTE,Van De Putte,FN,6419,0.167331404,12538,SOC,TRUE,GisËle Boullais
028-03,,,,,inscrits,71270,1,0,0,FALSE,Harold Huwart
028-03,,,,,abstentions,29242,0.410298863,0,0,FALSE,Harold Huwart
028-03,,,,,blanc,622,0.008727375,0,0,FALSE,Harold Huwart
028-03,f,Sygrid,DUMONCAY,Dumoncay,EXG,156,0.00376757,0,0,FALSE,Harold Huwart
028-03,m,Eric,MARCHAND,Marchand,DVD,248,0.00598947,0,0,FALSE,Harold Huwart
028-03,f,Vivette,JOLY,Joly,ECO,331,0.007994011,0,0,FALSE,Harold Huwart
