,,,,,,,,maxg,,,
001-05,f,MylËne,FERRI,Ferri,FG,3046,0.073233477,11857,SOC,FALSE,Josiane Exposito
001-05,m,Patrick,ROYER,Royer,ECO,301,0.007236795,11857,SOC,FALSE,Josiane Exposito
001-05,m,Patrick,SOKOLOWSKI,Sokolowski,FN,7482,0.179886039,11857,SOC,FALSE,Josiane Exposito
001-05,f,Brigitte,SANSANO,Sansano,DVD,305,0.007332965,11857,SOC,TRUE,Josiane Exposito
002-01,,,,,inscrits,72610,1,0,0,FALSE,Paul Vernay
002-01,,,,,abstentions,29442,0.405481339,0,0,FALSE,Paul Vernay
002-01,,,,,blanc,514,0.007078915,0,0,FALSE,Paul Vernay
002-01,m,Jean-Loup,PERNELLE,Pernelle,EXG,285,0.006681671,0,0,FALSE,Paul Vernay
002-01,f,Claudine,BRUNET,Brunet,FG,1629,0.038191025,0,0,FALSE,Paul Vernay
002-01,f,Aude,BONO,Bono,NCE,11297,0.264852065,0,0,FALSE,Paul Vernay
002-01,m,Damien,PEIFFER,Peiffer,DVD,222,0.00520467,0,0,FALSE,Paul Vernay
002-01,f,Carole,PHILIPPOT,Philippot,ECO,265,0.006212782,0,0,FALSE,Paul Vernay
002-01,m,RenÈ,DOSIERE,Dosiere,DVG,12416,0.291086416,0,0,FALSE,Paul Vernay
002-01,m,Fawaz,KARIMET,Karimet,SOC,9157,0.214680921,9157,SOC,FALSE,Paul Vernay
002-01,f,Claire,BRIL,Bril,ECO,334,0.00783045,9157,SOC,FALSE,Paul Vernay
002-01,f,Marie-Paule,GOSSET,Gosset,DVD,306,0.007174005,9157,SOC,FALSE,Paul Vernay
002-01,m,Jean-Louis,ROUX,Roux,FN,6743,0.158085994,9157,SOC,TRUE,Paul Vernay
002-02,,,,,inscrits,73249,1,0,0,FALSE,Anne Ferreira
002-02,,,,,abstentions,27914,0.381083701,0,0,FALSE,Anne Ferreira
002-02,,,,,blanc,583,0.007959153,0,0,FALSE,Anne Ferreira
002-02,m,Yannick,LEJEUNE,Lejeune,FN,7289,0.162875402,0,0,FALSE,Anne Ferreira
002-02,m,Guy,FONTAINE,Fontaine,FG,2123,0.047439221,0,0,FALSE,Anne Ferreira
002-02,f,Anne,ZANDITENAS,Zanditenas,EXG,242,0.00540758,0,0,FALSE,Anne Ferreira
002-02,m,Jean-Thierry,GAMPERT,Gampert,EXD,276,0.006167322,0,0,FALSE,Anne Ferreira
002-02,f,Sylvie,GLINATSIS,Glinatsis,ECO,225,0.005027708,0,0,FALSE,Anne Ferreira
002-02,m,Michel,AURIGNY,Aurigny,EXG,296,0.00661423,0,0,FALSE,Anne Ferreira
002-02,f,Anne,FERREIRA,Ferreira,SOC,15874,0.354710404,15874,SOC,FALSE,Anne Ferreira
002-02,m,Antonio,RIBEIRO,Ribeiro,DVG,178,0.003977476,15874,SOC,FALSE,Anne Ferreira
002-02,m,Guillaume,BUIL,Buil,ECO,222,0.004960672,15874,SOC,FALSE,Anne Ferreira
002-02,m,Xavier,BERTRAND,Bertrand,UMP,17404,0.38889882,15874,SOC,FALSE,Anne Ferreira
002-02,m,Paul,GIRONDE,Gironde,CEN,623,0.013921166,15874,SOC,TRUE,Anne Ferreira
002-03,,,,,inscrits,70298,1,0,0,FALSE,Jean-Louis Bricout
002-03,,,,,abstentions,28917,0.411348829,0,0,FALSE,Jean-Louis Bricout
002-03,,,,,blanc,791,0.011252098,0,0,FALSE,Jean-Louis Bricout
002-03,m,Jean-Pierre,VITU,Vitu,EXG,377,0.009288002,0,0,FALSE,Jean-Louis Bricout
002-03,m,RÈgis,LECOYER,Lecoyer,FG,1888,0.04651392,0,0,FALSE,Jean-Louis Bricout
002-03,m,Jean-Claude,PAGNIEZ,Pagniez,DVD,327,0.008056171,0,0,FALSE,Jean-Louis Bricout
002-03,m,FrÈdÈric,MEURA,Meura,UMP,13005,0.320399113,0,0,FALSE,Jean-Louis Bricout
002-03,m,Didier,COLPIN,Colpin,DVD,354,0.00872136,0,0,FALSE,Jean-Louis Bricout
002-03,m,Pierre,CHABOT,Chabot,EXD,619,0.015250062,0,0,FALSE,Jean-Louis Bricout
002-03,m,JoÎl,PICHONNIER,Pichonnier,DVG,185,0.004557773,0,0,FALSE,Jean-Louis Bricout
002-03,m,Jean-Louis,BRICOUT,Bricout,SOC,16683,0.411012565,16683,SOC,FALSE,Jean-Louis Bricout
002-03,m,Bertrand,DUTHEIL DE LA ROCHERE,Dutheil De La Rochere,FN,6617,0.163020448,16683,SOC,FALSE,Jean-Louis Bricout
002-03,f,France,SAVELLI,Savelli,PRV,535,0.013180586,16683,SOC,TRUE,Jean-Louis Bricout
002-04,,,,,inscrits,78987,1,0,0,FALSE,FrÈdÈric Alliot
