"code","arr","bda","cir","nom","numRue","numSup","rue","lat","lon","insT1","blaT1","jolT1","lepT1","sarT1","melT1","pouT1","artT1","cheT1","bayT1","dupT1","holT1","insT2","blaT2","holT2","sarT2"
6458,20,25,15,"École maternelle",12,"","Rue Bretonneau",48.867738,2.403398,1460,17,64,74,187,194,9,4,4,83,22,529,1459,51,876,290
6459,20,26,15,"Réfectoire École maternelle",7,"bis","Rue Bretonneau",48.867653,2.403148,1317,11,54,73,215,202,12,6,4,57,11,382,1317,39,700,324
7760,20,27,15,"Casvp Restaurants Les Réservoirs",2,"","Rue de la Justice",48.869842,2.406971,1329,14,39,71,239,180,8,6,1,83,6,434,1329,38,723,356
6457,20,28,15,"École maternelle",2,"","Rue Pierre-Foncin",48.871414,2.408977,1493,17,31,100,318,144,18,6,3,81,10,451,1493,28,725,457
6456,20,29,15,"École élémentaire",4,"","Rue Pierre-Foncin",48.871422,2.409175,1472,13,53,83,271,190,7,6,5,99,15,458,1472,47,768,396
6455,20,30,15,"Collège Pierre Mendès-France",24,"","Rue Le-Vau",48.868237,2.410991,1565,18,24,105,183,230,11,3,3,35,11,560,1565,41,895,312
6454,20,31,15,"École élémentaire",20,"","Rue Le-Vau",48.867691,2.411039,1570,18,59,127,249,164,9,5,6,75,18,442,1568,49,767,413
6453,20,32,15,"École maternelle",8,"","Rue Le-Vau",48.866315,2.41126,1532,14,52,82,250,189,9,5,5,100,12,470,1530,29,803,376
6452,20,33,15,"Centre d'accueil et d'animation 20ème",46,"","Rue Louis-Lumière",48.860357,2.411286,1399,18,21,163,154,151,9,3,1,35,12,466,1398,36,696,335
6449,20,34,15,"École élémentaire",4,"","Rue Eugene-Reisz",48.856562,2.410618,1417,21,23,121,169,192,5,3,2,75,13,451,1417,62,743,312
6450,20,35,15,"Collège Jean Perrin",6,"","Rue Eugene-Reisz",48.856775,2.41089,1428,31,30,145,159,172,14,10,3,40,9,442,1427,58,737,276
6445,20,36,15,"École élémentaire",5,"","Rue Mouraud",48.854742,2.407852,1312,15,35,93,165,157,11,4,0,66,6,440,1312,24,702,293
7662,20,37,15,"École maternelle",9,"","Rue Mouraud",48.854889,2.407686,1397,10,44,70,165,202,11,7,2,66,10,510,1397,29,834,258
6444,20,38,15,"École élémentaire",18,"","Rue du Clos",48.857492,2.407265,1417,16,42,82,169,178,14,9,2,58,9,509,1417,34,797,287
6443,20,39,15,"École maternelle",18,"","Rue du Clos",48.857492,2.407265,1424,15,34,114,166,178,5,3,3,57,6,486,1424,44,760,307
7664,20,40,15,"École maternelle",68,"","Rue Vitruve",48.859333,2.406828,1447,20,43,88,202,168,13,1,4,103,11,472,1447,49,761,361
6451,20,41,15,"École maternelle",12,"","Allee Alquier-Debrousse",48.861175,2.406495,1523,25,31,123,222,216,11,1,4,66,12,476,1521,64,782,341
6442,20,42,15,"Collège Flora Tristan",4,"","Rue Galleron",48.858674,2.40434,1506,15,63,80,213,210,24,7,1,102,11,487,1505,41,852,343
6438,20,43,15,"École maternelle",99,"","Rue des Pyrenées",48.85516,2.405337,1636,13,75,67,248,245,14,4,5,105,17,520,1636,47,956,364
6437,20,44,15,"École Polyvalente",17,"","Cite Champagne",48.853394,2.404135,1621,19,60,73,184,261,11,7,4,84,14,562,1621,50,972,299
6439,20,45,15,"École élémentaire",3,"","Passage Josseaume",48.854859,2.402662,1614,15,75,74,195,243,11,5,3,106,13,552,1614,34,981,325
6440,20,46,15,"Collège Henri Matisse",40,"bis","Rue des Orteaux",48.856609,2.40187,1524,20,54,64,222,231,9,3,3,84,10,521,1524,26,875,344
6441,20,47,15,"École maternelle",91,"","Rue de la Réunion",48.856437,2.400356,1530,18,60,68,189,229,11,6,2,82,8,537,1530,33,917,307
6431,20,48,15,"École élémentaire",54,"","Rue Planchat",48.855825,2.396489,1608,16,77,59,238,196,17,9,2,102,7,595,1608,59,942,336
7661,20,49,15,"École maternelle",52,"","Rue Planchat",48.85571,2.3966,1642,13,85,72,209,230,11,4,4,119,17,566,1642,42,986,340
6432,20,50,15,"École élémentaire",9,"","Rue de la Plaine",48.849912,2.400197,1570,11,70,86,279,164,8,3,6,127,18,521,1570,47,843,437
6433,20,51,15,"École élémentaire",11,"","Rue de la Plaine",48.849933,2.400404,1607,26,67,87,328,167,5,2,4,134,8,519,1607,62,830,493
6434,20,52,8,"Collège Lucie Faure",40,"","Rue des Pyrenées",48.850729,2.406357,1272,10,49,74,232,142,8,10,1,91,12,414,1272,38,673,352
6435,20,53,8,"École élémentaire",40,"","Rue des Pyrenées",48.850729,2.406357,1331,15,57,62,242,174,5,3,3,94,8,422,1331,44,707,370
6446,20,54,8,"École Polyvalente",51,"","Boulevard Davout",48.851629,2.410872,1516,21,35,89,168,204,17,5,6,35,10,472,1516,35,801,309
6448,20,55,8,"École maternelle",18,"","Rue Maryse-Hilsz",48.850523,2.412753,1474,24,24,138,184,158,13,5,2,86,16,477,1473,55,752,312
7663,20,56,8,"Lycée Maurice Ravel",89,"","Cours de Vincennes",48.847603,2.408388,1325,20,17,77,231,146,9,2,3,76,12,419,1323,28,661,342
7660,20,57,8,"Lycée Helene Boucher",74,"","Rue de Lagny",48.848942,2.407256,1350,14,44,64,282,154,15,7,4,67,11,446,1350,22,727,399
6429,20,58,6,"École élémentaire",9,"","Rue de Lesseps",48.858864,2.400012,1527,11,75,68,191,198,7,5,5,84,8,586,1527,27,945,303
6430,20,59,6,"École élémentaire",11,"","Rue de Lesseps",48.858956,2.399885,1556,12,81,54,234,203,12,5,1,100,15,560,1555,32,944,331
7563,20,60,6,"École maternelle",9,"","Rue Villiers de l'Isle-Adam",48.865723,2.394085,1327,16,73,63,206,188,10,4,3,85,8,433,1327,36,763,321
6473,20,61,6,"École maternelle",29,"","Avenue Gambetta",48.864003,2.391853,1350,8,69,72,173,185,10,1,2,71,7,460,1350,27,811,265
6475,20,62,6,"École élémentaire",9,"","Rue de Tlemcen",48.864532,2.387072,1365,19,50,86,150,224,13,10,4,46,10,506,1365,48,834,248
7564,20,63,6,"École maternelle",90,"","Rue des Amandiers",48.867005,2.389244,1366,13,43,89,156,206,9,3,2,42,6,458,1366,31,775,271
