"Référendum 2005","Régionales 2007","PR2007 1er tour","PR2007 2ème tour","PR2012 1er tour","PR2012 2ème tour"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Ségolène Royal","Abstention","François Hollande"
"Sans opinion","Listes UMP - NC","François Bayrou","Nicolas Sarkozy","François Bayrou","Nicolas Sarkozy"
"A voté oui","Listes UMP - NC","Frédéric Nihous / Philippe de Villiers","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté non","Listes PS","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Philippe Poutou","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Ségolène Royal","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"A voté oui","Listes PS","François Bayrou","Ségolène Royal","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Listes PS","François Bayrou","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","Abstention","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","Abstention","François Hollande"
"Sans opinion","Listes PS","Abstention, blanc, nul, sans réponse","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Abstention, blanc, nul, sans réponse","François Bayrou","Nicolas Sarkozy","François Bayrou","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","José Bové","Abstention, blanc, nul, sans réponse","Eva Joly","Blanc,nul, abstention, sans réponse"
"Sans opinion","Listes PS","Ségolène Royal","Ségolène Royal","Abstention","François Hollande"
"A voté non","Abstention, blanc, nul, sans réponse","Jean-Marie Le Pen","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes divers gauche","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Ségolène Royal","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Jean-Luc Mélenchon","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","NA","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes Front de gauche - PC","Olivier Besancenot","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"A voté non","Listes Verts","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","François Bayrou","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Abstention, blanc, nul, sans réponse","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Frédéric Nihous / Philippe de Villiers","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"A voté oui","Listes MoDem","François Bayrou","Abstention, blanc, nul, sans réponse","François Bayrou","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Listes FN","Jean-Marie Le Pen","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"Sans opinion","Listes UMP - NC","Nicolas Sarkozy","Abstention, blanc, nul, sans réponse","Abstention","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","François Bayrou","Ségolène Royal","François Bayrou","François Hollande"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","François Bayrou","Nicolas Sarkozy"
"A voté oui","Listes PS","François Bayrou","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Abstention, blanc, nul, sans réponse","Jean-Marie Le Pen","Ségolène Royal","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"Sans opinion","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes FN","Jean-Marie Le Pen","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Listes Verts","Ségolène Royal","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Nicolas Sarkozy"
"A voté non","Listes Verts","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
