country,year,y1,y2,x1,x2,e
France,1971,72.2,73.48,719.966,1157.0844,1
France,1972,73.48,73.64,1157.0844,1211.7242,1
France,1973,73.64,73.8,1211.7242,1266.364,1
France,1974,73.8,73.96,1266.364,1321.0038,1
France,1975,73.96,73,1321.0038,993.165,0
France,1976,73,75.08,993.165,1428.5218,1
France,1977,75.08,75.34,1428.5218,1482.9414,1
France,1978,75.34,75.6,1482.9414,1537.361,1
France,1979,75.6,75.86,1537.361,1591.7806,1
France,1980,75.86,74.3,1591.7806,1265.263,0
France,1981,74.3,75.9,1265.263,1671.5078,1
France,1982,75.9,76.1,1671.5078,1722.2884,1
France,1983,76.1,76.3,1722.2884,1773.069,1
France,1984,76.3,76.5,1773.069,1823.8496,1
France,1985,76.5,75.3,1823.8496,1519.166,0
France,1986,75.3,77.7,1519.166,1991.4476,1
France,1987,77.7,78,1991.4476,2050.4828,1
France,1988,78,78.3,2050.4828,2109.518,1
France,1989,78.3,78.6,2109.518,2168.5532,1
France,1990,78.6,76.8,2168.5532,1814.342,0
France,1991,76.8,77,1814.342,1883.496,0
France,1992,77,77.3,1883.496,1954.923,0
France,1993,77.3,77.3,1954.923,2028.625,0
France,1994,77.3,77.7,2028.625,2055.692,0
France,1995,77.7,77.8,2055.692,2336.092,0
France,1996,77.8,78,2336.092,2353.858,0
France,1997,78,78.4,2353.858,2365.818,0
France,1998,78.4,78.5,2365.818,2415.636,0
France,1999,78.5,78.7,2415.636,2491.008,0
France,2000,78.7,79,2491.008,2553.121,0
France,2001,79,79.2,2553.121,2614.692,0
France,2002,79.2,79.3,2614.692,2705.125,0
France,2003,79.3,79.3,2705.125,2809.304,0
France,2004,79.3,80.3,2809.304,2890.011,0
France,2005,80.3,80.3,2890.011,2947.707,0
France,2006,80.3,80.7,2947.707,2975.436,0
France,2007,80.7,80.9,2975.436,3020.814,0
France,2008,80.9,81,3020.814,3032.321,0
France,2009,81,81,3032.321,3115.361,0
Germany,1970,70.5,70.5,944.958,944.958,0
Germany,1971,70.5,70.8,944.958,1040.567,0
Germany,1972,70.8,71,1040.567,1132.693,0
Germany,1973,71,71.2,1132.693,1243.095,0
Germany,1974,71.2,71.5,1243.095,1345.615,0
Germany,1975,71.5,71.4,1345.615,1454.758,0
Germany,1976,71.4,71.8,1454.758,1534.384,0
Germany,1977,71.8,72.4,1534.384,1570.739,0
Germany,1978,72.4,72.4,1570.739,1641.386,0
Germany,1979,72.4,72.8,1641.386,1672.67,0
Germany,1980,72.8,72.9,1672.67,1736.691,0
Germany,1981,72.9,73.2,1736.691,1800.679,0
Germany,1982,73.2,73.5,1800.679,1769.02,0
Germany,1983,73.5,73.8,1769.02,1798.02,0
Germany,1984,73.8,74.2,1798.02,1873.172,0
Germany,1985,74.2,74.3,1873.172,1953.871,0
Germany,1986,74.3,74.5,1953.871,1972.975,0
Germany,1987,74.5,75,1972.975,2023.739,0
Germany,1988,75,75.2,2023.739,2126.569,0
Germany,1989,75.2,75.4,2126.569,2040.609,0
Germany,1990,75.4,75.3,2040.609,2093.591,0
Germany,1991,75.3,75.65,2093.591,2153.33,1
Germany,1992,75.65,76,2153.33,2213.069,0
Germany,1993,76,76.1,2213.069,2180.029,0
Germany,1994,76.1,76.4,2180.029,2277.755,0
Germany,1995,76.4,76.6,2277.755,2382.987,0
Germany,1996,76.6,76.8,2382.987,2470.698,0
Germany,1997,76.8,77.3,2470.698,2472.629,0
Germany,1998,77.3,77.7,2472.629,2525.902,0
Germany,1999,77.7,77.9,2525.902,2584.205,0
Germany,2000,77.9,78.2,2584.205,2668.335,0
Germany,2001,78.2,78.5,2668.335,2730.644,0
Germany,2002,78.5,78.5,2730.644,2784.504,0
Germany,2003,78.5,78.6,2784.504,2830.496,0
Germany,2004,78.6,79.2,2830.496,2801.691,0
Germany,2005,79.2,79.4,2801.691,2857.012,0
Germany,2006,79.4,79.8,2857.012,2915.835,0
Germany,2007,79.8,80,2915.835,2962.535,0
Germany,2008,80,80.2,2962.535,3056.588,0
Germany,2009,80.2,80.3,3056.588,3180.273,0
Greece,1970,73.8,73.8,583.745,583.745,0
Greece,1971,73.8,78.75,583.745,1655.6609,1
Greece,1972,78.75,78.9,1655.6609,1688.1432,1
Greece,1973,78.9,79.05,1688.1432,1720.6255,1
Greece,1974,79.05,79.2,1720.6255,1753.1078,1
Greece,1975,79.2,79.35,1753.1078,1785.5901,1
Greece,1976,79.35,79.5,1785.5901,1818.0724,1
Greece,1977,79.5,79.65,1818.0724,1850.5547,1
Greece,1978,79.65,79.8,1850.5547,1883.037,1
Greece,1979,79.8,79.95,1883.037,1915.5193,1
Greece,1980,79.95,75.3,1915.5193,908.568,0
Greece,1981,75.3,79.54285714,908.568,1211.361857,1
Greece,1982,79.54285714,79.67142857,1211.361857,1220.537429,1
Greece,1983,79.67142857,79.8,1220.537429,1229.713,1
Greece,1984,79.8,79.92857143,1229.713,1238.888571,1
Greece,1985,79.92857143,80.05714286,1238.888571,1248.064143,1
Greece,1986,80.05714286,80.18571429,1248.064143,1257.239714,1
Greece,1987,80.18571429,76.2,1257.239714,972.797,0
Greece,1988,76.2,76.8,972.797,907.763,0
Greece,1989,76.8,77,907.763,1030.69,0
Greece,1990,77,77.1,1030.69,1036.397,0
Greece,1991,77.1,77.1,1036.397,1033.044,0
Greece,1992,77.1,77,1033.044,1125.028,0
Greece,1993,77,77.4,1125.028,1226.948,0
Greece,1994,77.4,77.5,1226.948,1357.9,0
Greece,1995,77.5,77.5,1357.9,1370.195,0
Greece,1996,77.5,77.6,1370.195,1387.048,0
Greece,1997,77.6,77.9,1387.048,1409.149,0
Greece,1998,77.9,77.8,1409.149,1437.006,0
Greece,1999,77.8,78,1437.006,1523.312,0
Greece,2000,78,78,1523.312,1450.597,0
Greece,2001,78,78.5,1450.597,1683.786,0
Greece,2002,78.5,78.7,1683.786,1793.923,0
Greece,2003,78.7,78.8,1793.923,1859.561,0
Greece,2004,78.8,79,1859.561,1879.803,0
Greece,2005,79,79.2,1879.803,2112.388,0
Greece,2006,79.2,79.5,2112.388,2224.453,0
Greece,2007,79.5,79.5,2224.453,2314.337,0
Hungary,1991,69.4,69.4,698.46,698.46,0
Hungary,1992,69.4,69.2,698.46,727.264,0
Hungary,1993,69.2,69.2,727.264,726.267,0
Hungary,1994,69.2,69.5,726.267,802.458,0
Hungary,1995,69.5,69.9,802.458,731.929,0
Hungary,1996,69.9,70.4,731.929,705.13,0
Hungary,1997,70.4,70.8,705.13,708.464,0
Hungary,1998,70.8,70.7,708.464,779.735,0
Hungary,1999,70.7,70.8,779.735,830.529,0
Hungary,2000,70.8,71.7,830.529,852.618,0
Hungary,2001,71.7,72.3,852.618,901.761,0
Hungary,2002,72.3,72.5,901.761,994.245,0
Hungary,2003,72.5,72.5,994.245,1143.405,0
Hungary,2004,72.5,72.8,1143.405,1151.294,0
Hungary,2005,72.8,72.8,1151.294,1240.058,0
Hungary,2006,72.8,73.2,1240.058,1252.382,0
Hungary,2007,73.2,73.3,1252.382,1164.098,0
Hungary,2008,73.3,73.8,1164.098,1137.753,0
Hungary,2009,73.8,74,1137.753,1096.341,0
Iceland,1970,74.3,74.3,603.109,603.109,0
Iceland,1971,74.3,79,603.109,3575.107,1
Iceland,1972,79,79.1,3575.107,3638.341,1
Iceland,1973,79.1,74.5,3638.341,729.577,0
Iceland,1974,74.5,75.3,729.577,823.853,1
Iceland,1975,75.3,76.1,823.853,932.386,0
Iceland,1976,76.1,76.1,932.386,918.129,0
Iceland,1977,76.1,76.3,918.129,981.683,0
Iceland,1978,76.3,76.3,981.683,1110.874,0
Iceland,1979,76.3,76.7,1110.874,1303.902,0
Iceland,1980,76.7,76.7,1303.902,1322.085,0
Iceland,1981,76.7,76.7,1322.085,1409.79,0
Iceland,1982,76.7,76.7,1409.79,1483.648,0
Iceland,1983,76.7,77.1,1483.648,1556.212,0
Iceland,1984,77.1,77.1,1556.212,1496.968,0
Iceland,1985,77.1,77.6,1496.968,1606.42,0
Iceland,1986,77.6,77.9,1606.42,1809.011,0
Iceland,1987,77.9,77.2,1809.011,1985.547,0
Iceland,1988,77.2,77.1,1985.547,2088.768,0
Iceland,1989,77.1,78.1,2088.768,2023.447,0
Iceland,1990,78.1,78,2023.447,1931.001,0
Iceland,1991,78,78,1931.001,1958.203,0
Iceland,1992,78,78.7,1958.203,1899.96,0
Iceland,1993,78.7,78.9,1899.96,1928.581,0
Iceland,1994,78.9,79.2,1928.581,1934.987,0
Iceland,1995,79.2,78,1934.987,1960.59,0
Iceland,1996,78,78.8,1960.59,2032.45,0
Iceland,1997,78.8,78.9,2032.45,2099.126,0
Iceland,1998,78.9,79.6,2099.126,2428.667,0
Iceland,1999,79.6,79.6,2428.667,2699.398,0
Iceland,2000,79.6,80.1,2699.398,2739.767,0
Iceland,2001,80.1,80.2,2739.767,2761.456,0
Iceland,2002,80.2,80.6,2761.456,2979.211,0
Iceland,2003,80.6,81.2,2979.211,3102.015,0
Iceland,2004,81.2,81,3102.015,3147.48,0
Iceland,2005,81,81.2,3147.48,3189.632,0
Iceland,2006,81.2,81.2,3189.632,3138.829,0
Iceland,2007,81.2,81.2,3138.829,3236.692,0
Iceland,2008,81.2,81.3,3236.692,3208.285,0
Iceland,2009,81.3,81.5,3208.285,3163.493,0
Ireland,1970,71.2,71.2,414.382,414.382,0
Ireland,1971,71.2,73.1125,414.382,2867.144125,1
Ireland,1972,73.1125,73.15,2867.144125,2915.2375,1
Ireland,1973,73.15,73.1875,2915.2375,2963.330875,1
Ireland,1974,73.1875,73.225,2963.330875,3011.42425,1
Ireland,1975,73.225,73.2625,3011.42425,3059.517625,1
Ireland,1976,73.2625,73.3,3059.517625,3107.611,1
Ireland,1977,73.3,73.3375,3107.611,3155.704375,1
Ireland,1978,73.3375,71.5,3155.704375,799.129,0
Ireland,1979,71.5,72.3,799.129,827.695,0
Ireland,1980,72.3,72.8,827.695,929.38,0
Ireland,1981,72.8,72.8,929.38,905.234,0
Ireland,1982,72.8,72.8,905.234,883.86,0
Ireland,1983,72.8,88.1,883.86,1868.3385,1
Ireland,1984,88.1,88.4,1868.3385,1887.642,1
Ireland,1985,88.4,73.4,1887.642,922.467,0
Ireland,1986,73.4,73.6,922.467,900.475,0
Ireland,1987,73.6,74.4,900.475,906.481,0
Ireland,1988,74.4,74.5,906.481,907.079,0
Ireland,1989,74.5,74.5,907.079,905.291,0
Ireland,1990,74.5,74.9,905.291,947.301,0
Ireland,1991,74.9,75.1,947.301,1025.772,0
Ireland,1992,75.1,75.5,1025.772,1139.785,0
Ireland,1993,75.5,75.3,1139.785,1146.675,0
Ireland,1994,75.3,75.8,1146.675,1211.551,0
Ireland,1995,75.8,75.5,1211.551,1265.998,0
Ireland,1996,75.5,75.9,1265.998,1331.587,0
Ireland,1997,75.9,76,1331.587,1427.926,0
Ireland,1998,76,76.3,1427.926,1492.452,0
Ireland,1999,76.3,76.2,1492.452,1615.852,0
Ireland,2000,76.2,76.6,1615.852,1768.474,0
Ireland,2001,76.6,77.2,1768.474,2024.423,0
Ireland,2002,77.2,77.9,2024.423,2217.098,0
Ireland,2003,77.9,78.3,2217.098,2372.402,0
Ireland,2004,78.3,78.8,2372.402,2511.105,0
Ireland,2005,78.8,79.4,2511.105,2621.105,0
Ireland,2006,79.4,79.7,2621.105,2663.477,0
Ireland,2007,79.7,79.8,2663.477,2798.16,0
Ireland,2008,79.8,80.1,2798.16,3050.491,0
Ireland,2009,80.1,80,3050.491,3018.65,0
Israel,1975,72.1,72.1,800.824,800.824,0
Israel,1976,72.1,73,800.824,851.656,0
Israel,1977,73,73,851.656,932.968,0
Israel,1978,73,73.3,932.968,1069.095,0
Israel,1979,73.3,73.5,1069.095,1164.557,0
Israel,1980,73.5,73.9,1164.557,1147.612,0
Israel,1981,73.9,74.3,1147.612,1149.982,0
Israel,1982,74.3,74.2,1149.982,1175.13,0
Israel,1983,74.2,74.5,1175.13,1271.88,0
Israel,1984,74.5,74.8,1271.88,1517.645,0
Israel,1985,74.8,75.3,1517.645,1143.277,0
Israel,1986,75.3,75,1143.277,1080.99,0
Israel,1987,75,75.3,1080.99,1182.082,0
Israel,1988,75.3,75.7,1182.082,1229.777,0
Israel,1989,75.7,76.3,1229.777,1305.168,0
Israel,1990,76.3,76.7,1305.168,1276.843,0
Israel,1991,76.7,76.8,1276.843,1235.208,0
Israel,1992,76.8,76.5,1235.208,1325.689,0
Israel,1993,76.5,77.2,1325.689,1391.403,0
Israel,1994,77.2,77.5,1391.403,1555.38,0
Israel,1995,77.5,77.5,1555.38,1581.938,0
Israel,1996,77.5,78.2,1581.938,1646.466,0
Israel,1997,78.2,78,1646.466,1705.572,0
Israel,1998,78,78.2,1705.572,1705.011,0
Israel,1999,78.2,78.5,1705.011,1662.169,0
Israel,2000,78.5,78.8,1662.169,1765.985,0
Israel,2001,78.8,79.3,1765.985,1839.815,0
Israel,2002,79.3,79.5,1839.815,1775.961,0
