id,osmid,name,lanes
5454,35600320,Yolanda Trail,
5455,35601339,Chilton Avenue,
5456,35601342,Chilton Avenue,
5457,35675861,Harrison Street,
5458,35675862,Harrison Street,
5459,35678419,Los Balcones,
5460,35744087,South Exit Road,
5461,35763524,Skyline Boulevard,
5462,35763525,Half Moon Bay Road,
5463,35763589,Main Street,
5464,35763621,Jenna Lane,
5465,35799661,Skyline Boulevard,
5466,35799876,Naglee Avenue,
5467,35799878,Naglee Avenue,
5468,35800045,30th Street,
5469,35800145,Poppy Lane,
5470,35800213,Rousseau Street,
5471,35837441,Nimitz Freeway,4
5472,35837442,Nimitz Freeway,4
5473,35837496,Bayshore Freeway,4
5474,35837497,Bayshore Freeway,4
5475,35869647,Junipero Serra Freeway,6
5476,35869651,Junipero Serra Freeway,6
5477,35869652,Redwood Highway,4
5478,35922485,East Castro Valley Boulevard,
5479,35922509,East Castro Valley Boulevard,
5480,35922511,East Castro Valley Boulevard,
5481,35922874,Norbridge Avenue,
5482,35922880,Norbridge Avenue,
5483,35972322,Broadway,
5484,35972449,Peninsula Avenue,2
5485,35972455,Peninsula Avenue,
5486,35973460,Charles J Brenham Place,
5487,35973828,Hill Court Steps,
5488,35976572,Judah Street,
5489,35976771,16th Avenue,
5490,35976775,15th Avenue,
5491,35976977,Webster Street,
5492,35977367,Vallejo Street,
5493,35977396,Jones Street,
5494,35977639,Broadway,
5495,35999710,Ladybug Trail,
5496,36154475,Peninsula Covenant Church Commuinity Center,
5497,36328490,20th Street,
5498,36328491,20th Street,
5499,36331085,Mission Bay Drive,2
5500,36332873,Treasure Island Road,
5501,36332874,Treasure Island Road,
5502,36870661,Lake Anza Trail,
5503,36870662,Lake Anza Trail,
5504,36903059,Victoria Avenue,
5505,36924259,El Cerrito Avenue,
5506,36925770,El Cerrito Avenue,
5507,36925771,El Cerrito Avenue,
5508,36948490,Octavia,
5509,36979512,Market Street,
5510,36982346,Northgate Avenue,
5511,36982348,Northgate Avenue,
5512,36985570,Depot Road,
5513,36989609,Clover Street,
5514,36989645,Daisy Street,
5515,37022336,14th Street,
5516,37061369,Trumpetvine Court,
5517,37125358,Lakeshore Avenue,1
5518,37125447,Excelsior Avenue,
5519,37126390,Sansome Street,
5520,37126394,Filbert Street,
5521,37126530,Greenwich Street Stairs,
5522,37177689,Berry Street,
5523,37177789,Berry Street,
5524,37222925,South Exit Road,
5525,37228616,Shepherd Canyon Trail,
5526,37352592,Shamrock Ranch,
5527,37354013,Lombard Street,1
5528,37379667,Betty Lane,
5529,37393931,Frontage Road,
5530,37393940,Frontage Road,
5531,37402204,El Camino Real,
5532,37403561,Hillside Drive,
5533,37405869,Saint Francis Boulevard,
5534,37406163,Monterey Boulevard,
5535,37406169,Monterey Boulevard,
5536,37406443,Monterey Boulevard,
5537,37406444,Monterey Boulevard,
5538,37411053,Cork Harbour Circle,
5539,37411056,Cork Harbour Circle,
5540,37428610,Almer Road,
5541,37511447,North Loop Road,
5542,37520314,35th Avenue,
5543,37555378,Ocean Avenue,
5544,37572042,Corona Street,
5545,37572054,Corona Street,
5546,37572292,Sagamore Street,
5547,37572389,Alemany Boulevard,
5548,37572519,Alemany Boulevard,
5549,37572779,Regent Street,
5550,37572788,Regent Street,
5551,37572838,Alemany Boulevard,
5552,37572986,Arch Street,
5553,37573000,Arch Street,
5554,37573517,San Jose Avenue,
5555,37573546,San Jose Avenue,
5556,37573562,San Jose Avenue,
5557,37610422,Chain of Lakes Drive West,
5558,37610423,43rd Avenue,
5559,37610424,Chain of Lakes Drive East,
5560,37629557,Ocean Avenue,
5561,37662558,Crest Avenue,
5562,37662758,Sharon Avenue,
5563,37662806,Sycamore Avenue,
5564,37662808,Sycamore Avenue,
5565,37663249,Remco Street,
5566,37663324,April Court,
5567,37663325,Arcadian Court,
5568,37678609,Woodhill Drive,
5569,37678651,Woodhill Drive,
5570,37680150,Mission Drive,
5571,37680178,Mission Drive,
5572,37680261,Donohoe Street,
5573,37680345,Cooley Avenue,
5574,37680363,East Bayshore Road,
5575,37680625,University Avenue,
5576,37680684,University Avenue,
5577,37680696,University Avenue,
5578,37689108,Emeryville Greenway,
5579,37724738,Waller Street,
5580,37749474,Buchanan Street,
5581,37751501,Alpine Terrace,
5582,37751529,Hattie Street,
5583,37751531,Corrie Place,
5584,37752285,Clifford Terrace Stairway,
5585,37783661,Volcanic Trail,
5586,37783662,Volcanic Trail,
5587,37815539,Pillar Point Bluff Trail,
5588,37815549,Pillar Point Bluff Trail,
5589,37815552,Jean Lauer Trail,
5590,37825422,Covert Path,
5591,37825423,Covert Path,
5592,37825424,Wilson Walk,
5593,37825425,Glendale Path,
5594,37825426,Glendale Path,
5595,37857999,Pillar Point Bluff Trail,
5596,37858013,Pillar Point Bluff Trail,
5597,37890024,Claremont Avenue,2
5598,37927739,James V. Fitzgerald Marine Reserve,
5599,38001329,North Peak Access Road,
5600,38001579,Old San Pedro Mountain Road,
5601,38023324,De Forest Way,
5602,38060491,Levant Street Stairway,
5603,38095719,Rose Street,
5604,38095913,Stevenson Street,
5605,38095939,Gough Street,
5606,38151150,Bayshore Freeway,4
5607,38151538,Veterans Boulevard,
5608,38151646,Veterans Boulevard,
5609,38152734,Hetch Hetchy aqueduct ROW,
5610,38169124,Vollmer Peak Trail,
5611,38170205,Farallone Road Trail,
5612,38170206,Farallone Road Trail,
5613,38245434,Willow Court,
5614,38312454,Lewis Foster Drive,
5615,38313004,Sterling Ranch Road,
5616,38313085,Avenue Balboa,
5617,38478888,Georgetown Avenue,
