id,osmid,name,lanes
0,4311275,Bayshore Freeway,4
1,4352168,Junipero Serra Freeway,4
2,4699870,Nimitz Freeway,4
3,4859362,J Arthur Younger Freeway,2
4,4958463,Decoto Road,2
5,4958699,Nimitz Freeway,4
6,4970189,J Arthur Younger Freeway,2
7,4970206,Bayshore Freeway,4
8,5004035,Macondray Lane,
9,5050916,Stonewall-Panoramic Trail,
10,5050917,Stonewall-Panoramic Trail,
11,5071579,Bayshore Freeway,4
12,5071582,James Lick Freeway,5
13,5072891,Dwight Way,
14,5072894,Panoramic Place,
15,5149901,Grizzly Peak Boulevard,
16,5149902,Grizzly Peak Boulevard,
17,5149903,Claremont Avenue,2
18,5149907,Stonewall Road,
19,5149909,Centennial Drive,
20,5149910,Centennial Drive,
21,5149913,Panoramic Way,
22,5149916,Smyth Road,
23,5149917,Hillside Avenue,
24,5149920,Canyon Road,
25,5149922,Dwight Place,
26,5150501,Fernwald Road,
27,5150502,Mosswood Road,
28,5150503,Arden Road,
29,5165991,Eastshore Freeway,6
30,6202491,Wildcat Gorge Trail,
31,6202493,Curran Trail,
32,6202494,Meadows Canyon Trail,
33,6324450,Castro Valley Freeway,2
34,6329287,Water Street,
35,6329571,Franklin Street,
36,6330308,6th Street,
37,6330425,West 10th Street,
38,6330439,12th Street,
39,6331826,Park Boulevard,4
40,6332401,West 15th Street,
41,6336821,Sacramento Street,
42,6340357,18th Street,
43,6340370,Cleveland Cascade,
44,6341515,Midway Street,
45,6342279,Warren Freeway,2
46,6343684,Sanborn Drive,
47,6344377,Bridgeview Drive,
48,6344844,Dyer Street,
49,6348657,Arlington Avenue,
50,6349245,Live Oak Terrace,
51,6353041,Carson Drive,
52,6358368,West 8th Street,
53,6363469,West 17th Street,
54,6369513,West 21st Street,
55,6370305,58th Street,1
56,6372138,Tulagi Street,
57,6377365,Addison Street,
58,6378193,Drake Lane,
59,6379649,Hillery Way,
60,6380915,Tartan Way,
61,6380984,Grove Shafter Freeway,2
62,6385801,7th Street,4
63,6387456,West 11th Street,
64,6392460,Shawnee Court,
65,6396055,Neil Armstrong Way,
66,6399227,Grand Avenue,4
67,6400759,Euclid Avenue,2
68,6400775,Euclid Avenue,2
69,6401213,Joaquin Miller Road,
70,6405288,West 19th Street,
71,6405589,Alan Shepard Way,
72,6407619,East 12th Street,
73,6408133,Decoto Road,
74,7373728,6th Street,
75,7373736,Bluxome Street,
76,7448875,Nelson Rising Lane,
77,7448946,Mission Bay Boulevard,
78,7705909,Colusa Avenue,1
79,7705911,Sutter Street,2
80,7715654,Albany Waterfront Trail,
81,7781339,Piedmont Avenue,
82,7805666,Russell Street,
83,7805681,Ohlone Greenway,
84,7805688,Ohlone Greenway,
85,7854811,Strawberry Hollow,
86,7855374,Dewing Avenue,
87,7856157,Nordstrom Lane,
88,7857550,Harran Circle,
89,7858319,Bickerstaff Road,
90,7858613,Amber Valley Drive,
91,7859302,Paulson Court,
92,7860266,Monson Lane,
93,7860956,Legion Court,
94,7861090,Risa Road,
95,7861121,Glen Road,
96,7861220,Dollis Park Road,
97,7861509,Moon Court,
98,7861989,Kingingwood Lane,
99,7862347,Hough Avenue,
100,7862460,Alta Mesa,
101,7862662,Wilson Road,
102,7862753,Candle Terrace,
103,7863009,Hilltop Drive,
104,7863643,Oak Flat Road,
105,7863752,Acalanes Road,
106,7863755,Rose Court,
107,7864616,Wildwood Lane,
108,7864658,Van Ripper Lane,
109,7864795,Dahlia Court,
110,7865748,Altarinda Circle,
111,7865819,Hastings Court,
112,7865884,Sugarloaf Terrace,
113,7865896,Arlington Avenue,
114,7865906,Janet Lane,
115,7865960,Fallen Leaf Terrace,
116,7866789,Irving Court,
117,7866821,North Thompson Road,
118,7866823,North Thompson Road,
119,7867150,Tammy Court,
120,7867222,Charles Hill Lane,
121,7867252,Conntra Costa Canal Canal Trail,
122,7867764,Charles Hill Road,
123,7867829,Saint Francis Drive,
124,7868057,El Pulgar,
125,7868460,Via Las Cruces,
126,7868629,Cerrito Court,
127,7868829,Sierra Gardens,
128,7868938,Franklin Lane,
129,7869511,Glorietta Boulevard,
130,7869775,Woodside Court,
131,7869824,Oak Hill Road,
132,7870148,Crescent Drive,
133,7870306,Costanoan Trail,
134,7871203,Valente Court,
135,7872060,Lincoln Way,
136,7872211,Dolores Drive,
137,7872218,Songbird Court,
138,7872460,Via Nueva,
139,7872554,Coachwood Terrace,
140,7872645,Glen Court,
141,7872730,Chestnut Street,
142,7874007,Wilson Court,
143,7874072,West Creek Court,
144,7874141,Brook Street,
145,7875114,San Pablo Avenue,
146,7875379,Fiora Place,
147,7875780,West Arbor Way,
148,7876410,Walnut Street,
149,7876486,Bell Street,
150,7877396,West Road,
151,7879010,Sunnyhills Road,
152,7879081,Village Center,
153,7879280,Hidden Valley Road,
154,7879730,Meadow Lane,
155,7879829,Arbor Way,
156,7880233,Sundale Road,
157,7880240,Natasha Drive,
158,7880789,Irving Lane,
159,7880795,Gardiner Court,
160,7881054,Saint Francis Court,
161,7881175,Mosswood Drive,
162,7917274,Grizzly Peak Trail,
163,7917275,Grizzly Peak Trail,
164,7917277,Vollmer Peak Trail,
165,7917278,Vollmer Peak Trail,
166,7917279,Vollmer Peak Trail,
167,7917280,Lupine Trail,
168,7917281,Tower Trail,
169,7917283,Vollmer Peak Trail,
170,7917284,Seaview Trail,
171,7917286,Seaview Drive,
172,7917289,Redwood Trail,
173,7979606,Quarry Trail,
174,7979607,Big Springs Trail,
175,7979609,Quarry Trail,
176,7991140,Ohlone Greenway,
177,8013482,Alvarez Road,
178,8515265,Aruba Lane,
179,8515287,Grenada Lane,
180,8914958,Vandewater Street,
181,8914960,Hawes Street,
182,8914961,Hawes Street,
183,8914964,Hawes Street,
184,8914965,12th Avenue,
185,8914967,12th Avenue,
186,8914970,12th Avenue,
187,8914972,12th Avenue,
188,8914973,12th Avenue,
189,8914974,12th Avenue,
190,8914977,Berwick Place,
191,8914980,Baker Court,
192,8914982,Jamestown Avenue,
193,8914983,Jamestown Avenue,
194,8914984,Louisburg Street,
195,8914986,Quarry Road,
196,8914988,Bosworth Street,
197,8914993,Bosworth Street,
198,8914994,Liebig Street,
199,8914996,Fitch Street,
200,8914997,Fitch Street,
201,8914998,Fitch Street,
202,8914999,Clarendon Woods Avenue,
203,8915002,Aquavista Way,
204,8915003,Fowler Avenue,
205,8915009,Dehon Street,
206,8915051,Lake Merced Bike Path,
207,8915111,Vista Access Road,
208,8915185,Skunk Alley,
209,8915427,Sunset Boulevard,
210,8915429,Sunset Boulevard,
211,8915436,Bayshore Boulevard,2
212,8915480,Lyon Street,
213,8915527,Thomas Avenue,
214,8915543,Gardener Road,
215,8915618,Utah Street,
216,8915662,Martinez Street,
217,8915742,Dukes Court,
218,8915744,Blandy Street,
219,8915747,Mahan Street,
220,8915750,Starr King Way,
221,8915752,Lansing Street,
222,8915753,Norton Street,
223,8915757,Knockash Hill,
224,8915759,Fargo Place,
225,8915760,Vinton Court,
226,8915762,Youngs Court,
227,8915763,Fulton Street,
228,8915796,Fulton Street,
229,8915807,Panorama Drive,
230,8915810,Kenneth Rexroth Place,
231,8915831,San Buenaventura Way,
232,8915843,5th Avenue,
233,8915845,3rd Avenue,
234,8915848,3rd Avenue,
235,8915865,Wawona Street,
236,8915869,Roanoke Street,
237,8915872,Newman Street,
238,8915884,Coso Avenue,
239,8915888,Coso Avenue,
240,8915889,Castelo Avenue,
241,8915900,Ralston Avenue,
242,8915904,Nadell Court,
243,8915914,Noriega Street,
244,8915917,Noriega Street,
245,8915925,Noriega Street,
246,8915937,Noriega Street,
247,8915941,Noriega Street,
248,8915944,Noriega Street,
249,8915948,Noriega Street,
250,8915951,Gen. Kennedy Avenue,
251,8915954,Mabel Alley,
252,8915957,Highland Avenue,
253,8915959,Highland Avenue,
254,8915961,Justin Drive,
255,8915974,Justin Drive,
256,8915977,Apollo Street,
257,8915979,Langdon Court,
258,8915980,Langdon Court,
259,8915983,Blairwood Lane,
260,8915986,Colton Street,
261,8916021,San Miguel Street,
262,8916023,Prosper Street,
263,8916026,Lurmont Terrace,
264,8916045,Hutchins Court,
265,8916048,Isis Street,
266,8916053,Harvard Street,
267,8916055,Ord Court,
268,8916057,Farnum Street,
269,8916061,Appleton Street,
270,8916065,Lake Street,
271,8916078,Lake Street,
272,8916113,Hill Drive,
273,8916117,Hill Drive,
274,8916119,Hill Drive,
275,8916151,36th Avenue,
276,8916155,Brunswick Street,
277,8916158,Burnett North Avenue,
278,8916159,Elwood Street,
279,8916165,Bryant Street,
280,8916175,Dichiera Court,
281,8916177,Drake Street,
282,8916178,Malden Alley,
283,8916179,Laura Street,
284,8916181,Chelsea Place,
285,8916182,Commer Court,
286,8916183,Welsh Street,
287,8916184,Welsh Street,
288,8916185,Behr Avenue,
289,8916186,Sibert Loop,
290,8916187,Moneta Court,
291,8916188,North View Court,
292,8916189,Kearny Lane,
293,8916191,Mariposa Street,
294,8916193,Lusk Street,
295,8916195,McKinnon Avenue,
296,8916196,McKinnon Avenue,
297,8916197,Fort Miley 3,
298,8916198,Paul Avenue,
299,8916199,Bradford Street,
300,8916200,Bradford Street,
301,8916201,Bradford Street,
302,8916202,Whitney Street,
303,8916203,Whitney Street,
304,8916204,Murray Lane,
305,8916205,Somerset Street,
306,8916206,Somerset Street,
307,8916207,Somerset Street,
308,8916208,Somerset Street,
309,8916209,Jerrold Avenue,
310,8916211,Jerrold Avenue,
311,8916212,Jerrold Avenue,
312,8916213,Fort Miley 4,
313,8916215,Gilbert Street,
314,8916216,San Leandro Way,
315,8916218,Gonzalez Drive,
316,8916222,I Street,
317,8916223,Spring Street,1
318,8916224,North Willard Street,
319,8916226,John F Shelley Drive,
320,8916227,Fort Miley 6,
321,8916228,Rockland Street,
322,8916229,Vulcan Steps,
323,8916230,Rotteck Street,
324,8916232,Clinton Park,
325,8916233,Sabin Place,
326,8916235,Macondray Lane,
327,8916239,Gennessee Street,
328,8916240,Milan Terrace,
329,8916241,Higuera Avenue,
330,8916242,Higuera Avenue,
331,8916243,Britton Street,
332,8916244,Ingalls Street,
333,8916246,Pearl Street,
334,8916247,Piedmont Street,
335,8916248,Ophir Alley,
336,8916249,Water Street,
337,8916250,Quint Street,
338,8916251,Quint Street,
339,8916252,Quint Street,
340,8916253,Quint Street,
341,8916254,Johnstone Drive,
342,8916255,Johnstone Drive,
343,8916265,Buchanan Street,
344,8916266,Shaw Alley,
345,8916267,Harlow Street,
346,8916269,Nichols Way,
347,8916271,Nebraska Street,
348,8916273,Mullen Avenue,
349,8916275,Bocana Street,
350,8916276,Holyoke Street,
351,8916277,Holyoke Street,
352,8916278,Holyoke Street,
353,8916279,Holyoke Street,
354,8916280,Lakeview Avenue,
355,8916281,27th Avenue,
356,8916282,27th Avenue,
357,8916283,27th Avenue,
358,8916284,Edgardo Place,
359,8916285,Park Hill Avenue,
360,8916286,Amazon Avenue,
361,8916287,Marina Boulevard,
362,8916290,Marina Boulevard,
363,8916291,Moss Street,
364,8916295,19th Street,
365,8916298,19th Street,
366,8916302,Goleta Avenue,
367,8916310,6th Street,
368,8916311,Kramer Place,
369,8916313,Alert Alley,
370,8916314,Stillings Avenue,
371,8916316,Gorgas Avenue,
372,8916318,Lawton Street,
373,8916321,Lawton Street,
374,8916323,Lawton Street,
375,8916324,Temescal Terrace,
376,8916325,Ingleside Path,
377,8916326,Macalla Court,
378,8916327,Dolores Street,
379,8916335,Dolores Street,
380,8916338,Rhode Island Street,
381,8916339,Sherwood Court,
382,8916341,Bernice Street,
383,8916343,Kensington Way,
384,8916344,Kensington Way,
385,8916345,Helen Place,
386,8916347,Burlwood Drive,
387,8916349,Halibut Court,
388,8916351,Beideman Street,
389,8916354,Hudson Court,
390,8916356,Merchant Road,
391,8916364,O&apos;Shaughnessy Boulevard,
392,8916366,Shawnee Avenue,
393,8916367,Seal Rock Drive,
394,8916368,Santiago Street,
395,8916369,Emerson Street,
396,8916372,Carr Street,
397,8916375,California Street,
398,8916376,Garces Drive,
399,8916378,Palo Alto Avenue,
400,8916379,Valerton Court,
401,8916380,McRae Street,
402,8916381,Colonial Way,
403,8916384,San Marcos Avenue,
404,8916386,Locust Street,
405,8916394,Whiting Way,
406,8916395,Bannock Street,
407,8916397,Thomas Avenue,
408,8916398,Thomas Avenue,
409,8916403,Thomas Avenue,
410,8916404,Gaviota Way,
411,8916405,Bartol Street,
412,8916406,37th Avenue,
413,8916407,37th Avenue,
414,8916408,Garnett Terrace,
415,8916409,Garnett Terrace,
416,8916410,Charles Street,
417,8916413,Harry Street,
418,8916415,Treat Avenue,
419,8916416,Treat Avenue,
420,8916417,Treat Avenue,
421,8916421,Castro Street,
422,8916422,Castro Street,
423,8916423,Castro Street,
424,8916425,Winding Way,
425,8916426,Winding Way,
426,8916428,Palos Place,
427,8916433,Sea Cliff Avenue,
428,8916435,Stow Lake Drive East,
429,8916439,Bay Street,
430,8916441,Bay Street,
431,8916443,Forest Road,
432,8916444,Phoenix Terrace,
433,8916445,Russell Street,
434,8916446,Corona Street,
435,8916448,43rd Avenue,
436,8916449,43rd Avenue,
437,8916450,24th Avenue,
438,8916451,24th Avenue,
439,8916452,24th Avenue,
440,8916453,Calhoun Terrace,
441,8916454,Pino Alley,
442,8916455,Flood Avenue,
443,8916456,North Van Horn Lane,
444,8916458,Beach Street,
445,8916459,Beach Street,
446,8916460,Hopkins Avenue,
447,8916461,Hemway Terrace,
448,8916463,Walnut Street,
449,8916465,Raymond Avenue,
450,8916466,Beaumont Avenue,
451,8916468,Beaumont Avenue,
452,8916469,Arch Street,
453,8916470,Arch Street,
454,8916471,Avoca Alley,
455,8916472,Elsie Street,
456,8916473,Elsie Street,
457,8916475,Elsie Street,
458,8916476,Doric Alley,
459,8916478,Security Pacific Place,
460,8916481,Cameo Way,
461,8916484,9th Avenue,
462,8916485,9th Avenue,
463,8916486,9th Avenue,
464,8916488,Topeka Avenue,
465,8916490,Child Street,
466,8916491,Watt Avenue,
467,8916492,Garden Street,
468,8916494,Hahn Street,
469,8916496,Surrey Street,
470,8916497,Surrey Street,
471,8916498,Washburn Street,
472,8916499,Jansen Street,
473,8916500,Ada Court,
474,8916501,Lake Merced Hills Street,2
475,8916502,Levant Street,
476,8916504,Moffitt Street,
477,8916508,Christmas Tree Point Road,
478,8916511,Bonview Street,
479,8916512,Bonview Street,
480,8916513,Waterloo Street,
481,8916515,Oneida Avenue,
482,8916517,Oneida Avenue,
483,8916518,Mabrey Court,
484,8916520,Bella Vista Way,
485,8916522,Bella Vista Way,
486,8916524,Carrie Street,
487,8916525,Frederick Street,
488,8916526,Lexington Street,
489,8916527,Manchester Street,
490,8916529,Pope Road,
491,8916531,Faxon Avenue,
492,8916532,Faxon Avenue,
493,8916534,Faxon Avenue,
494,8916535,Faxon Avenue,
495,8916538,Uranus Terrace,
496,8916540,Pretor Way,
497,8916542,Crestmont Drive,
498,8916543,Foote Avenue,
499,8916545,Leroy Place,
500,8916546,Emmett Court,
501,8916547,Capitol Avenue,
502,8916548,Crags Court,
503,8916549,Westbrook Court,
504,8916550,Sunnydale Avenue,
505,8916551,South Park Avenue,
506,8916553,South Park Avenue,
507,8916554,Peabody Street,
508,8916555,Chaves Avenue,
509,8916557,Sadowa Street,
510,8916558,Inverness Drive,
511,8916560,Fredela Lane,
512,8916562,Belcher Street,
513,8916563,Vallejo Street,
514,8916564,Vallejo Street,
515,8916567,Vallejo Street,
516,8916569,Arbor Street,
517,8916570,Burns Place,
518,8916572,34th Avenue,
519,8916575,34th Avenue,
520,8916576,Carpenter Court,
521,8916577,Reno Place,
522,8916578,Garfield Street,
523,8916579,Magnolia Street,
524,8916580,Trader Vic Alley,
525,8916581,Hoff Street,
526,8916582,Thornton Avenue,
527,8916583,Thornton Avenue,
528,8916586,3rd Street,
529,8916590,3rd Street,
530,8916594,3rd Street,
531,8916610,3rd Street,
532,8916619,Ogden Avenue,
533,8916625,Leona Terrace,
534,8916631,Minerva Street,
535,8916633,Minerva Street,
536,8916634,Redondo Street,
537,8916635,Amethyst Way,
538,8916637,Corbin Place,
539,8916638,Winter Place,
540,8916641,Entrada Court,
541,8916642,Aptos Avenue,
542,8916644,Ggp Access Road,
543,8916654,Clipper Terrace,
544,8916657,Portola Street,
545,8916658,Genoa Place,
546,8916661,Elk Street,
547,8916662,Broderick Street,
548,8916663,Guttenberg Street,
549,8916664,Rivas Avenue,
550,8916665,Detroit Street,
551,8916666,Detroit Street,
552,8916667,Avery Street,
553,8916671,Mansell Street,
554,8916675,Burrows Street,
555,8916676,Burrows Street,
556,8916678,Burrows Street,
557,8916683,21st Street,
558,8916685,Plaza Street,
559,8916686,Howe Road,
560,8916688,Whitney Young Circle,
561,8916689,Capistrano Avenue,
562,8916690,Banks Street,
563,8916691,Roberts Street,
564,8916694,Banks Street,
565,8916700,Banks Street,
566,8916701,Mill Street,
567,8916707,Blythdale Avenue,
568,8916716,Gateview Court,
569,8916719,Gateview Court,
570,8916722,Gateview Court,
571,8916724,Gateview Court,
572,8916725,Mercedes Way,
573,8916727,Ozbourn Court,
574,8916729,Argent Alley,
575,8916731,Rayburn Street,
576,8916732,Temple Street,
577,8916733,Vermehr Place,
578,8916734,Quane Street,
579,8916736,6th Avenue,
580,8916738,6th Avenue,
581,8916740,6th Avenue,
582,8916741,Cutler Avenue,
583,8916744,Alberta Street,
584,8916746,Hare Street,
585,8916748,Marengo Street,
586,8916750,Eastman Place,
587,8916751,Heather Avenue,
588,8916752,Clarion Alley,
589,8916757,Font Boulevard,
590,8916758,Legion Court,
591,8916759,Walter Street,
592,8916760,Nueva Avenue,
593,8916761,Aspen Court,
594,8916764,Francisco Street,
595,8916765,Francisco Street,
596,8916766,Francisco Street,
597,8916767,Francisco Street,
598,8916768,Francisco Street,
599,8916771,Calgary Street,
600,8916772,Upper Terrace,
601,8916773,Upper Terrace,
602,8916774,Upper Terrace,
603,8916775,San Diego Avenue,
604,8916777,Payson Street,
605,8916778,Merritt Street,
606,8916784,Edgar Place,
607,8916785,Conkling Street,
608,8916786,Vicksburg Street,
609,8916787,Arkansas Street,
610,8916788,Oak Grove Street,
611,8916792,7th Street,
612,8916793,Telegraph Place,
613,8916796,Sunview Drive,
614,8916797,Compton Road,
615,8916798,Alameda Street,
616,8916802,Ashton Avenue,
617,8916803,Farragut Avenue,
618,8916804,Mansfield Street,
619,8916805,Elim Street,
620,8916806,Ervine Street,
621,8916807,Ervine Street,
622,8916808,Loraine Court,
623,8916809,Diamond Street,
624,8916810,Diamond Street,
625,8916811,Diamond Street,
626,8916812,Diamond Street,
627,8916813,Bishop Street,
628,8916814,Ridgewood Avenue,
629,8916820,Lincoln Way,
630,8916823,Lincoln Way,
631,8916824,Spindrift Circle,
632,8916825,McRae Lane,
633,8916826,Lily Street,
634,8916828,Galewood Circle,
635,8916830,Galewood Circle,
636,8916831,Westmoorland Drive,
637,8916832,Douglass Street,
638,8916833,Quesada Avenue,
639,8916834,Quesada Avenue,
640,8916835,Quesada Avenue,
641,8916840,Burnett Avenue,
642,8916841,Burnett Avenue,
643,8916844,Wilde Avenue,
644,8916845,Wilde Avenue,
645,8916847,Missouri Street,
646,8916851,Brant Alley,
647,8916852,Darrell Place,
648,8916853,Clipper Street,
649,8916854,Patterson Street,
650,8916856,Forest Hill Path,
651,8916857,John Street,
652,8916858,Ardath Court,
653,8916860,Hamilton Street,
654,8916861,Hamilton Street,
655,8916862,Vernon Street,
656,8916863,Havens Street,
657,8916865,Jack Kerouac Alley,
658,8916866,Velasco Avenue,
659,8916867,Montgomery Street,
660,8916871,Rio Verde Street,
661,8916874,Flounder Court,
662,8916880,Montclair Terrace,
663,8916881,Parkridge Drive,
664,8916882,Cushman Street,
665,8916883,Gilman Avenue,
666,8916885,Silver Avenue,
667,8916886,Rivoli Street,
668,8916887,McDowell Avenue,
669,8916889,Hickory Street,
670,8916890,Hidalgo Terrace,
671,8916891,Pollard Place,
672,8916892,Harold Avenue,
673,8916894,Broadmoor Drive,
674,8916896,Short Street,
675,8916899,Crissy Field Avenue,
676,8916901,Thorp Lane,
677,8916902,Rowland Street,
678,8916904,Tamalpais Terrace,
679,8916907,28th Avenue,
680,8916908,28th Avenue,
681,8916909,28th Avenue,
682,8916910,Curtis Street,
683,8916911,Curtis Street,
684,8916913,Santa Marina Street,
685,8916914,29th Street,
686,8916915,Wright Street,
687,8916919,Middle Point Road,
688,8916921,Marcela Avenue,
689,8916922,Howard Street,
690,8916923,Fairmount Street,
691,8916925,Greely Court,
692,8916926,Ignacio Avenue,
693,8916927,Jessie Street,
694,8916929,Jessie Street,
695,8916930,Jessie Street,
696,8916931,Mint Plaza,
697,8916932,Jessie Street,
698,8916933,Jessie Street,
699,8916934,Jessie Street,
700,8916935,Jessie Street,
701,8916936,Halleck Street,
702,8916939,Halleck Street,
703,8916940,Hattie Street,
704,8916941,Prescott Court,
705,8916943,Nordhoff Street,
706,8916944,Prentiss Street,
707,8916945,Prentiss Street,
708,8916946,Camp Street,
709,8916947,Reuel Court,
710,8916949,Saint Mary&apos;s Avenue,
711,8916951,32nd Avenue,
712,8916953,32nd Avenue,
713,8916957,Glover Street,
714,8916958,Lamson Lane,
715,8916959,Whittier Street,
716,8916960,Rio Court,
717,8916962,Marcy Place,
718,8916963,Belvedere Street,
719,8916964,Belvedere Street,
720,8916965,Hugo Street,
721,8916967,Sacramento Street,
722,8916969,Hester Avenue,
723,8916972,Richardson Avenue,3
724,8916973,Richardson Avenue,3
725,8916975,Brosnan Street,
726,8916979,Jade Place,
727,8916980,Concord Street,
728,8916982,Concord Street,
729,8916983,Sickles Avenue,
730,8916984,Goethe Street,
731,8916988,Manseau Street,
732,8916989,Chattanooga Street,
733,8916990,Hallam Street,
734,8916992,Dorland Street,
735,8916993,Ingerson Avenue,
736,8916994,Paramount Terrace,
737,8916996,Cochrane Street,
738,8916997,Andover Street,
739,8917000,Manor Drive,
740,8917001,Bliss Street,
741,8917003,Teddy Avenue,
742,8917009,Sheridan Avenue,
743,8917011,Saint Charles Avenue,
744,8917014,Sequoia Way,
745,8917015,Dolphin Court,
746,8917017,Golden Gate Avenue,
747,8917018,Golden Gate Avenue,
748,8917019,Golden Gate Avenue,
749,8917020,Keyes Avenue,
750,8917023,Beale Street,
751,8917024,Lulu Alley,
752,8917026,Anza Street,
753,8917027,Anza Street,
754,8917028,Seymour Street,
755,8917030,Robert Kirk Lane,
756,8917032,Victoria Street,
757,8917033,Victoria Street,
758,8917034,Victoria Street,
759,8917043,Potrero Avenue,
760,8917050,Graystone Terrace,
761,8917051,Agua Way,
762,8917053,Wills Street,
763,8917054,Gibb Street,
764,8917055,Mulford Alley,
765,8917056,Quickstep Lane,
766,8917057,Moreland Street,
767,8917058,Arthur Avenue,
768,8917059,Holly Park Circle,
769,8917060,Bonnie Brae Lane,
770,8917061,Lincoln Boulevard,
771,8917062,Lincoln Boulevard,
772,8917065,Roemer Way,
773,8917066,Liggett Avenue,
774,8917068,Liggett Avenue,
775,8917071,Hobart Alley,
776,8917073,25th Avenue,
777,8917074,25th Avenue,
778,8917075,25th Avenue,
779,8917076,25th Avenue,
780,8917077,25th Avenue,
781,8917078,25th Avenue,
782,8917080,Wildwood Way,
783,8917081,46th Avenue,
784,8917083,46th Avenue,
785,8917085,14th Street,
786,8917093,Saint Francis Boulevard,
787,8917095,Latona Street,
788,8917096,Waithman Way,
789,8917097,Mirabel Avenue,
790,8917098,Nimitz Avenue,
791,8917100,Skyview Way,
792,8917101,Miguel Street,
793,8917102,Miguel Street,
794,8917103,Stanton Street,
795,8917104,Hale Street,
796,8917106,Farnsworth Lane,
797,8917107,Hastings Terrace,
798,8917108,Service Street,
799,8917109,Balceta Avenue,
800,8917110,San Bruno Avenue,
801,8917113,San Bruno Avenue,
802,8917116,Whitecliff Way,
803,8917120,Kezar Drive,
804,8917125,Rivera Street,
805,8917126,Rivera Street,
806,8917128,Baden Avenue,
807,8917130,Southwood Drive,
808,8917131,Williar Avenue,
809,8917132,Camellia Avenue,
810,8917133,Russian Hill Place,
811,8917135,Oak Street,
812,8917137,Woodacre Drive,
813,8917138,Ritch Street,
814,8917139,Emery Lane,
815,8917140,Codman Place,
816,8917141,Alemany Boulevard,
817,8917146,Alemany Boulevard,
818,8917154,Trumbull Street,
819,8917155,Belmont Avenue,
820,8917156,Villa Terrace,
821,8917157,Rolph Street,
822,8917158,Rolph Street,
823,8917159,Olmstead Street,
824,8917160,Olmstead Street,
825,8917161,English Street,
826,8917162,Foerster Street,
827,8917163,Maple Street,
828,8917164,North Lake Merced Hills Street,2
829,8917165,Heron Street,1
830,8917166,Cortland Avenue,
831,8917167,Mistral Street,
832,8917168,Oceanview Terrace,
833,8917169,Bayside Drive,
834,8917170,Eureka Street,
835,8917173,Pinehurst Way,
836,8917174,Kissling Street,
837,8917175,Deems Road,
838,8917176,Joy Street,
839,8917177,Sanchez Street,
840,8917178,Sanchez Street,
841,8917179,Sanchez Street,
842,8917180,Sanchez Street,
843,8917183,Brussels Street,
844,8917184,Brussels Street,
845,8917185,Dashiell Hammett Street,
846,8917186,Derby Street,
847,8917187,Derby Street,
848,8917188,Trainor Street,
849,8917189,Wilder Street,
850,8917190,A Street,
851,8917191,Waltham Street,
852,8917192,Paradise Avenue,
853,8917194,Campton Place,
854,8917195,Littlefield Terrace,
855,8917197,Caselli Avenue,
856,8917199,Pershing Drive,
857,8917200,Thomas More Way,
858,8917205,Union Street,
859,8917207,Rosie Lee Lane,
860,8917211,Laguna Honda Boulevard,
861,8917218,Emerald Lane,
862,8917220,Sims Court,
863,8917221,Decker Alley,
864,8917222,Jennings Court,
865,8917224,Jennings Court,
866,8917227,La Grande Avenue,
867,8917228,La Grande Avenue,
868,8917230,La Grande Avenue,
869,8917231,Dorman Avenue,
870,8917233,Grenard Terrace,
871,8917234,Pueblo Street,
872,8917235,Cuesta Court,
873,8917236,Tennessee Street,
874,8917239,Espanola Street,
875,8917240,Penny Lane,
876,8917241,Woodward Street,
877,8917246,Madison Street,
878,8917248,Central Avenue,
879,8917249,Central Avenue,
880,8917250,Imperial Avenue,
881,8917251,Gladiolus Lane,
882,8917252,Kronquist Court,
883,8917253,Jersey Street,
884,8917256,Channel Street,
885,8917257,Carolina Street,
886,8917258,Carolina Street,
887,8917259,Sotelo Avenue,
888,8917260,Appleton Avenue,
889,8917262,Northridge Road,
890,8917263,Rutland Street,
891,8917264,Valmar Terrace,
892,8917265,De Long Street,
893,8917266,De Long Street,
894,8917268,Moore Place,
895,8917269,Modoc Avenue,
896,8917270,Restani Way,
897,8917271,Restani Way,
898,8917273,Owens Street,
899,8917274,Tioga Avenue,
900,8917275,Walker Court,
901,8917276,Hamerton Avenue,
902,8917278,Maynard Street,
903,8917279,West Pacific Avenue,
904,8917280,West Pacific Avenue,
905,8917281,Aerial Way,
906,8917282,Aerial Way,
907,8917284,Post Street,
908,8917285,Erie Street,
909,8917287,Acadia Street,
910,8917288,Breen Place,
911,8917289,Midcrest Way,
912,8917290,Terrace Drive,
913,8917291,Mountain Spring Avenue,
914,8917292,Duboce Avenue,
915,8917294,Ruger Street,
916,8917296,Infantry Terrace,
917,8917297,7th Avenue,
918,8917298,7th Avenue,
919,8917299,7th Avenue,
920,8917300,Sparrow Street,
921,8917301,Erkson Court,
922,8917303,Morton Street,
923,8917304,Thor Avenue,
924,8917305,Houston Street,
925,8917307,San Juan Avenue,
926,8917308,Old Chinatown Lane,
927,8917309,Tubbs Street,
928,8917311,Onique Lane,
929,8917312,James Place,
930,8917320,Greenough Avenue,
931,8917321,Hamlin Street,
932,8917322,Elizabeth Street,
933,8917323,Elizabeth Street,
934,8917324,Zoe Street,
935,8917325,Monterey Boulevard,2
936,8917329,Monterey Boulevard,
937,8917331,Monterey Boulevard,
