lat,lon
-67.5,67.4
-67.5,68.4
-67.4,69.3
-68.1,69.3
-68.35,70
-69,70.3
-69.1,69.3
-69.35,69.5
-70.5,69.5
-70.3,70.4
-70.25,71.4
-70.5,71
-69.45,72.2
-69.35,73.3
-69.4,74.3
-69.5,75.3
-69.3,76.1
-69.1,77.1
-69.5,78
-68.3,78.2
-68.15,79
-68,80.3
-67.5,81.4
-67.2,82.3
-67.1,83.4
-67,85
-66.5,86.2
-66.4,87.4
-66.45,88.3
-66.45,89.4
-66.4,91
-66.3,92
-66.35,93
-66.35,94
-66.3,95
-66.4,96
-66.3,97
-66.4,97.4
-66.3,98.3
-66.35,99.2
-66.25,100
-66.25,100.4
-66.5,101.3
-65.5,102.4
-65.55,104
-66.5,105
-66.15,106
-66.3,107
-66.35,108
-66.5,109
-66.35,109.3
-66.4,110.2
-66.25,110.4
-66.5,110.4
-65.55,111.4
-65.5,112.4
-65.45,113.4
-66,114.3
-66.2,115.3
-66.3,116.3
-66.45,117.4
-66.5,119
-66.5,120.2
-66.4,121.3
-66.25,122.3
-66.45,123.2
-66.45,124.2
-66.3,124.5
-66.35,125.5
-66.15,126.3
-66.15,127
-66.3,127.4
-66.55,128.2
-67,129
-67.1,129.3
-66.55,130
-66.2,130
-66.5,130.5
-66.1,132
-66.5,133.2
-66.1,134.2
-66.5,135.2
-66.2,136.2
-66.2,137.2
-66.3,138.2
-66.35,139.2
-66.4,140.3
-66.45,142
-67,142.3
-66.5,143.2
-67,144.2
-67.3,144.2
-67.35,145
-67.3,146
-67.5,146.5
-68.15,147
-68.25,148.2
-68.15,149
-68.3,150.2
-68.2,151
-68.4,151.3
-68.35,152.4
-68.35,154.2
-69.5,155
-69.2,156
-69,156.3
-69.5,157.3
-69.15,158.4
-69.3,160
-69.4,161
-70.5,161
-70.3,161.1
-70.5,161.4
-70.35,162.1
-70.1,162.2
-70.5,163.2
-70.35,163.1
-70.35,164.4
-70.3,166
-70.5,167.2
-71.1,168.4
-71.3,170
-71.1,170.1
-71.45,171
-72,170.1
-72.3,170.3
-72.5,169.4
-73.1,168.3
-73.15,167
-73.4,167
-74.5,166.4
-74.1,165.2
-74.3,165.2
-74.5,164.2
-75.1,163
-75.4,162.4
-76.5,162.4
-76.3,163
-76.55,163.2
-77.2,163.4
-77.45,163.4
-78,164.4
-78.25,166
-78.3,164
-78.45,161.3
-79.1,160
-79.4,160
-80,160
-80.3,160.2
-81,160.2
-81.3,161
-81.55,162.2
-82.25,164
-82.5,166
-83.15,168.3
-83.3,171.3
-83.3,176
-83.5,180
-77.35,166.2
-77.4,168.1
-77.25,169.4
-77.2,168.1
-77.5,166.4
-77.35,166.2
-78.45,-164
-79.5,-163
-79.2,-163.4
-79.5,-163.4
-80.15,-161.4
-79.55,-160
-79.3,-160
-79.5,-160.4
-78.45,-161.4
-78.45,-164
-76.35,-150.1
-76.45,-148.3
-76.25,-147.1
-76.1,-148.1
-76.35,-150.1
-71.5,-76.1
-71.2,-76.3
-71.4,-76
-71.5,-75
-72.1,-74.2
-72.15,-73.2
-72.35,-73
-72.4,-71.3
-72.35,-70
-72.2,-68.5
-71.55,-68.3
-71.3,-68.2
-71,-68.3
-70.3,-68.5
-70,-69.2
-69.25,-69.4
-68.5,-70.2
-68.55,-71.1
-69.5,-71.4
-69.35,-71.3
-70.5,-71
-70.35,-70.4
-70.5,-71
-70.55,-71.5
-71,-73
-71.5,-74.4
-71.5,-76.1
-70.35,-76.1
-70.35,-75
-70.3,-74
-70.15,-73.45
-69.55,-73.4
-69.45,-74.3
-70,-75.45
-70.15,-75.4
-70.35,-76.1
-64.4,-64.2
-64.5,-63.3
-64.35,-63
-64.2,-62
-64,-62.3
-64.35,-63
-64.15,-63.3
-64.4,-64.2
-63.15,-56.3
-63.3,-56
-63.25,-55
-63,-55.5
-63.15,-56.3
-65.4,92.45
-65.3,103.45
-66.25,162.2
-67.2,164.4
-68.5,-90.35
-62.4,-61
-62.45,-60.2
-62.2,-59.2
-62.15,-58.4
-62,-57.4
-62,-58.5
-62.2,-59.2
-62.3,-60.2
-62.4,-61
-61,-55.3
-61,-54.1
-60.38,-46.2
-60.42,-45
-60.2,-46
-60.38,-46.2
-60.44,-44.3
0,-80.5
-0.2,-80.3
-0.5,-80.3
-1,-80.55
-1.4,-80.45
-2.1,-80.45
-2.2,-80.55
-2.3,-80.35
-3,-80.1
-2.3,-80.5
-2.3,-79.4
-2.5,-79.5
-3.2,-80
-3.3,-80.2
-3.5,-80.5
-4.15,-81.2
-4.4,-81.2
-5.1,-81.1
-5.4,-80.5
-6,-81.1
-6.15,-80.5
-6.3,-80.2
-6.5,-80
-7.15,-79.4
-7.5,-79.3
-8.1,-79
-8.4,-78.4
-9.1,-78.3
-9.4,-78.2
-10.1,-78.1
-10.5,-77.4
-11.2,-77.3
-11.5,-77.1
-12.1,-77
-12.3,-76.4
-13,-76.3
-13.4,-76.1
-14.1,-76.15
-14.4,-75.5
-15,-75.3
-15.2,-75.1
-15.45,-74.3
-15.5,-74
-16.15,-73.3
-16.35,-72.5
-16.4,-72.3
-17,-72
-17.15,-71.3
-17.4,-71.1
-17.5,-70.5
-18.15,-70.2
-18.45,-70.2
-19.2,-70.15
-20,-70.5
-20.3,-70.1
-21,-70.1
-21.3,-70.5
-22,-70.1
-22.3,-70.15
-23,-70.3
-23.3,-70.3
-24,-70.3
-24.3,-70.35
-25,-70.3
-25.25,-70.3
-25.45,-70.45
-26.2,-70.35
-27,-70.55
-27.3,-70.55
-28,-71.1
-28.3,-71.15
-29,-71.3
-29.2,-71.2
-30,-71.15
-30.15,-71.35
-30.45,-71.4
-31.2,-71.35
-31.5,-71.3
