id,time,user,pos
216682042908344322,23:59:59,DrZamaltza,0
216682035346026497,23:59:57,jim_137,0
216681900926959616,23:59:25,TazzerDirtewest,0
216681842550648835,23:59:11,MickaelLipari,0
216681812733333505,23:59:04,DidyBePriv,0
216681798275563520,23:59:01,Gregorinho_13,0
216681713202507778,23:58:40,hmorpheus1,0
216681702922260480,23:58:38,FlowLem,0
216681680222683136,23:58:32,MotiGoya,0
216681676179386368,23:58:32,idirR95,0
216681670567403521,23:58:30,LoubnaZrari,0
216681657321795584,23:58:27,Felix_ch94,0
216681636723572738,23:58:22,vsaddier,0
216681406972174336,23:57:27,A_DXVII,0
216681403860008960,23:57:27,le_gaffric,0
216681377184227328,23:57:20,Afriquefootball,0
216681345538195457,23:57:13,stelaurent12,0
216681342086295552,23:57:12,JYouunes,0
216681287564541952,23:56:59,blackoiseau,0
216681237237075969,23:56:47,SachaUzan,0
216681152818315267,23:56:27,YBA19,0
216681138297634816,23:56:23,APelenc,0
216681102033698817,23:56:15,FjellLove,0
216681095759015937,23:56:13,Bibliociraptor,0
216680997834588160,23:55:50,f_t60,0
216680970571620352,23:55:43,CarmeloOP,0
216680945787478017,23:55:37,SilvaK_11,0
216680856763371521,23:55:16,Karl300du06,0
216680821283758081,23:55:08,Karl300du06,0
216680797321707520,23:55:02,Diistinct93,0
216680789373501440,23:55:00,kass92i,0
216680737481555968,23:54:48,Bobiiiw,0
216680698696830978,23:54:38,Sebastos_D,0
216680633097928704,23:54:23,Blckdz,0
216680623329394689,23:54:20,tonton_idriss,0
216680600696913920,23:54:15,rachidoudoudou,0
216680552407904258,23:54:04,NeufHeinSari,0
216680500683751424,23:53:51,M_Chivers,0
216680493696040961,23:53:50,NeufHeinSari,0
216680463035666434,23:53:42,cartouches12,0
216680336732594177,23:53:12,JuniorDotbav,0
216680336057315329,23:53:12,iBarca13,0
216680309352169473,23:53:06,quiquecst,0
216680307900940288,23:53:05,ZaplanaQuentin,0
216680274031951873,23:52:57,cartouches12,0
216680223779991553,23:52:45,teobaldus,0
216680223092121600,23:52:45,MonsieurJBDM,0
216680217811501056,23:52:44,APelenc,0
216680202263216128,23:52:40,Plat_de_Pates,0
216680165823094784,23:52:31,gerlandalex24,0
216680150685851649,23:52:28,MathiM_18,0
216680116233830401,23:52:20,M_Chivers,0
216680112966479872,23:52:19,KrimoMontana,0
216680100786212865,23:52:16,Anais_Sa,0
216680091047047170,23:52:14,KrimoMontana,0
216680086596894720,23:52:13,lluis66,0
216680068188082176,23:52:08,ChoupitaSamut,0
216680057748463616,23:52:06,KrimoMontana,0
216680008486359040,23:51:54,KrimoMontana,0
216679898671095808,23:51:28,kass92i,0
216679867897479168,23:51:20,boskette,0
216679847894859777,23:51:16,Flowerangers_,0
216679822645137408,23:51:10,JR_Gracia,0
216679819658788864,23:51:09,johbrug,0
216679676914044928,23:50:35,JuiceysM2,0
216679653207838720,23:50:29,ccreati_es,0
216679623474421760,23:50:22,menlyfrance,0
216679487356678146,23:49:50,WissemDens,0
216679477906911232,23:49:47,K_Leed,0
216679468029321216,23:49:45,alejandrillo85,0
216679407266443264,23:49:31,ludivinefavre,0
216679406960254977,23:49:30,KevinDache,0
216679318657564673,23:49:09,Karl300du06,0
216679307450400768,23:49:07,tt_fr,0
216679232812761093,23:48:49,J3nnhi_,0
216679178462961664,23:48:36,Maelloush_SODMG,0
216679166609854464,23:48:33,SHJDreamaka,0
216679070799368194,23:48:10,nbxmas,0
216678972203868160,23:47:47,NiRMOU_H,0
216678920664252418,23:47:35,Gus_Gus07,0
216678908546924544,23:47:32,KrimoMontana,0
216678847331045378,23:47:17,KrimoMontana,0
216678818553921537,23:47:10,Khamousss,0
216678783279828992,23:47:02,KrimoMontana,0
216678783040765953,23:47:02,19septembre,0
216678748995588097,23:46:54,Toonssi91,0
216678724224028673,23:46:48,KrimoMontana,0
216678691294543873,23:46:40,Wouilojaah,0
216678688635371520,23:46:39,edgePG,0
216678677533048832,23:46:37,Toonssi91,0
216678419772088320,23:45:35,Saturne__,0
216678408883679232,23:45:33,Romainlamb,0
216678376348467201,23:45:25,colicoli29,0
216678352835198977,23:45:19,matoscastro1,0
216678326704672770,23:45:13,GuillaumeHeras,0
216678267040694274,23:44:59,jigga6000,0
216678141408718848,23:44:29,APelenc,0
216678069484793859,23:44:12,k3v1n971,0
216678060689342464,23:44:10,FlorentinHild,0
216677999599304704,23:43:55,nicolas_kremer,0
216677999599304704,23:43:55,nicolas_kremer,0
216677953512275968,23:43:44,david_chevalier,0
216677843256619008,23:43:18,virginiecapric,0
216677827871911936,23:43:14,Patrick_75013,0
216677670954614785,23:42:37,veizir,0
216677560967372800,23:42:10,laouist,0
216677539576430592,23:42:05,Nellyhbaby,0
216677404092018689,23:41:33,tifreez,0
216677280884342785,23:41:04,EllelaS,0
216677104060874752,23:40:21,__ChiddyBang,0
216677070359642112,23:40:13,jigga6000,0
216677042194874370,23:40:07,adrijones,0
216676999559786497,23:39:57,fahimvongola,0
216676993931022336,23:39:55,VirginieTvt,0
216676934308986880,23:39:41,Bernardtroll,0
216676838368477185,23:39:18,__ChiddyBang,0
216676641252978688,23:38:31,Papiillon,0
216676548487553025,23:38:09,Lolly_Hlr,0
216676532293353472,23:38:05,Maxou92000,0
216676364533764096,23:37:25,SilvaK_11,0
216676284611301376,23:37:06,SilvaK_11,0
216676173588070401,23:36:40,Gregorinho_13,0
216676079799255040,23:36:17,pommedamour,0
216675972479594496,23:35:52,Ak_tzn,0
216675851977244674,23:35:24,MehdiEM,0
216675841596334080,23:35:20,Barackho_,0
216675742153588736,23:34:57,SarahMALIKoum,0
216675704752963586,23:34:48,pommedamour,0
216675696796368896,23:34:46,ElisaVidalR,0
216675648289255424,23:34:34,VdbAurel,0
216675636671021056,23:34:32,Ak_tzn,0
216675635144294400,23:34:31,pommedamour,0
216675577598455808,23:34:17,DaniVampDaf,0
216675525475835904,23:34:05,pommedamour,0
216675507998167040,23:34:01,jdragon__,0
216675410761625600,23:33:38,jamelallaoua,0
216675406416314369,23:33:37,sosokev93,0
216675393053265921,23:33:33,FrenchAmerican9,0
216675275180736512,23:33:05,pommedamour,0
216675182054617088,23:32:43,Karl300du06,0
216675120696139776,23:32:29,mericdiez,0
216675114996076544,23:32:27,YaminBylkaa,0
216675100785782784,23:32:24,pommedamour,0
216674987287908352,23:31:57,BGucciiiii,0
216674892932849664,23:31:34,LaBaluch,0
216674878953230336,23:31:31,FrenchAmerican9,0
216674873630654465,23:31:30,PolowLoco,0
216674827044524032,23:31:19,LaadyStrawberry,0
216674800729456641,23:31:12,Milan_0905,0
216674788230447104,23:31:09,Karl300du06,0
216674777748877313,23:31:07,LaadyStrawberry,0
216674751266033666,23:31:00,Lucie_Waldorf,0
216674750255206400,23:31:00,FionaMss,0
216674625499836416,23:30:31,Gregorinho_13,0
216674564825034752,23:30:16,MonsieurJBDM,0
216674521422372864,23:30:06,Aur3Lianna,0
216674516284354560,23:30:04,JonasDC7,0
216674513709056001,23:30:04,fouss_k,0
216674471086522369,23:29:54,Judas_officiel,0
216674383509463040,23:29:33,spiderflight,0
216674367566905345,23:29:29,Julieb85,0
216674347639775233,23:29:24,Aji_Dahk,0
216674316648071169,23:29:17,Julieb85,0
216674297891135488,23:29:12,OreiroLileana,0
216674288864985088,23:29:10,Lamomecrevette,0
216674225249988608,23:28:55,Zegzaweed,0
216674208661516290,23:28:51,salimelbouhmadi,0
216674202802061312,23:28:50,YessicaSalcedoo,0
216674198507094016,23:28:49,Karl300du06,1
216674072799612928,23:28:19,Warrioritta,0
216674047478599680,23:28:13,ESaezJ,0
216674021499088897,23:28:06,18OuFS18,0
216674011088826368,23:28:04,Iceman_091,0
216673953954021376,23:27:50,Karl300du06,0
216673923377541122,23:27:43,coco93p,0
216673859129192449,23:27:28,MathieuLautier,0
216673835687223296,23:27:22,Tulipier,0
216673742468808705,23:27:00,ESaezJ,0
216673720708763648,23:26:55,HeleneG_stho,0
216673696734121984,23:26:49,sprat75,0
216673695194808321,23:26:49,zou0013,0
216673638924038145,23:26:35,JohannaSTwins,0
216673631391072257,23:26:33,pepitounete,0
216673601103998976,23:26:26,BenjiLPT,0
216673590051999744,23:26:24,YHautbois,0
216673521584177152,23:26:07,AkselElGringo,0
216673508468592642,23:26:04,Misstiger49,0
216673502806294529,23:26:03,LauDouce,0
216673460636745729,23:25:53,JavierRenton,0
216673339991785472,23:25:24,kacemelhajkacem,0
216673336430821376,23:25:23,douce2franclieu,0
216673319091576833,23:25:19,DJGabou,0
216673317124444160,23:25:19,Cocophile,0
216673315241205760,23:25:18,LSConsulting2,0
216673225629900800,23:24:57,K_Leed,0
216673206193491969,23:24:52,douce2franclieu,0
216673185414914048,23:24:47,Belhandastree,0
216673139311120384,23:24:36,kacemelhajkacem,0
216673138610667520,23:24:36,cbarahmandi,0
216673121929924609,23:24:32,BlackFrito,0
216673121929924609,23:24:32,BlackFrito,0
216673072290344961,23:24:20,TeamRealNigga,0
216673051570475008,23:24:15,Nouvellesdumond,0
216673019312078849,23:24:08,Berussard_94,0
216673011636510721,23:24:06,elvy44,0
216672967298531328,23:23:55,clokworkorange5,0
216672881105567744,23:23:35,FlorentinHild,0
216672809517187072,23:23:18,zGFuiiZ,0
216672779808935936,23:23:10,wetta_rene,0
216672713413103618,23:22:55,mschris6,0
216672707562061827,23:22:53,calluap,0
216672701434171392,23:22:52,plumesdanges,0
216672688947736577,23:22:49,Medhouna,0
